number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5256299570448595,2026-04-22 05:27:23.621177,2026-04-22 05:27:29.861046,0 days 00:00:06.239869,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5293181250864404,2026-04-22 05:27:29.861098,2026-04-22 05:27:47.032585,0 days 00:00:17.171487,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5124885169443469,2026-04-22 05:27:47.032641,2026-04-22 05:27:58.804914,0 days 00:00:11.772273,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.504575546080978,2026-04-22 05:27:58.804968,2026-04-22 05:28:14.153525,0 days 00:00:15.348557,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5314876961032499,2026-04-22 05:28:14.153582,2026-04-22 05:29:02.182139,0 days 00:00:48.028557,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5204931053474983,2026-04-22 05:29:02.182194,2026-04-22 05:29:13.961839,0 days 00:00:11.779645,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5159839625891829,2026-04-22 05:29:13.961907,2026-04-22 05:29:22.678606,0 days 00:00:08.716699,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.521509773248958,2026-04-22 05:29:22.678662,2026-04-22 05:29:42.550338,0 days 00:00:19.871676,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5149307987673744,2026-04-22 05:29:42.550394,2026-04-22 05:30:11.265452,0 days 00:00:28.715058,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5202539916686094,2026-04-22 05:30:11.265508,2026-04-22 05:30:20.136342,0 days 00:00:08.870834,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5263454482561108,2026-04-22 05:30:20.136396,2026-04-22 05:31:03.142801,0 days 00:00:43.006405,32,0.34749150908843895,48,2,0.0009807210744879143,mean,6.577496589979118e-05,COMPLETE
11,0.5114497232631413,2026-04-22 05:31:03.142870,2026-04-22 05:31:29.103532,0 days 00:00:25.960662,64,0.20283357522291956,32,2,0.0001986449571494286,mean,0.00011702365815216542,COMPLETE
12,0.5195188027488147,2026-04-22 05:31:29.103589,2026-04-22 05:32:04.347728,0 days 00:00:35.244139,32,0.3708449222533327,32,2,0.0009739794271508155,mean,0.00023005349143290663,COMPLETE
13,0.5185878770068395,2026-04-22 05:32:04.347788,2026-04-22 05:32:38.579722,0 days 00:00:34.231934,32,0.2490718152672376,16,2,0.000999770050333959,mean,3.6080639114511124e-05,COMPLETE
14,0.5262043217237398,2026-04-22 05:32:38.579776,2026-04-22 05:33:01.683010,0 days 00:00:23.103234,64,0.5997449754566205,32,2,0.0002591675485037962,mean,0.0002727520963007412,COMPLETE
15,0.518914569035427,2026-04-22 05:33:01.683064,2026-04-22 05:33:54.895167,0 days 00:00:53.212103,32,0.28545507422756705,32,2,0.0006851283698892583,last,3.339900228780977e-05,COMPLETE
16,0.5121821021622655,2026-04-22 05:33:54.895235,2026-04-22 05:34:15.253711,0 days 00:00:20.358476,64,0.3977779145544659,32,2,0.00014911917638651346,mean,3.798895757932489e-05,PRUNED
17,0.5328437704068466,2026-04-22 05:34:15.253743,2026-04-22 05:35:14.591910,0 days 00:00:59.338167,32,0.23891812067041596,48,2,0.00010325813819323171,mean,0.00015985015246780044,COMPLETE
18,0.5061783720730992,2026-04-22 05:35:14.591968,2026-04-22 05:35:19.620215,0 days 00:00:05.028247,32,0.20158677827810115,48,1,0.00010759560354789332,max,0.0009363450371845177,PRUNED
19,0.533742720731481,2026-04-22 05:35:19.620265,2026-04-22 05:35:58.591262,0 days 00:00:38.970997,32,0.3200269448764093,48,2,0.001549415859774662,last,0.0005225474544125667,COMPLETE
20,0.5200177713957503,2026-04-22 05:35:58.591325,2026-04-22 05:36:32.643507,0 days 00:00:34.052182,32,0.3174541133163097,48,2,0.00045136298708380637,last,0.0004956348716705662,COMPLETE
21,0.5314194514966242,2026-04-22 05:36:32.643561,2026-04-22 05:37:03.805545,0 days 00:00:31.161984,32,0.24324680894708134,48,2,0.0014589302917177671,last,0.0024688434457888347,COMPLETE
22,0.5275791879543795,2026-04-22 05:37:03.805599,2026-04-22 05:37:34.119676,0 days 00:00:30.314077,32,0.287997278311577,48,2,0.0013402941945644092,last,0.009444330996361007,COMPLETE
23,0.5374546764761432,2026-04-22 05:37:34.119747,2026-04-22 05:38:11.618827,0 days 00:00:37.499080,32,0.3745300691605417,48,2,0.0029793082320973044,last,0.00021337419821293075,COMPLETE
24,0.5244359328738873,2026-04-22 05:38:11.618887,2026-04-22 05:38:53.862914,0 days 00:00:42.244027,32,0.35859604095824055,48,2,0.0007333620211522432,last,0.00019067594876368463,COMPLETE
25,0.5262977304689904,2026-04-22 05:38:53.862983,2026-04-22 05:39:23.379240,0 days 00:00:29.516257,32,0.43344897263593796,48,2,0.0028680430529507356,last,0.00046288455851373016,COMPLETE
26,0.5282441417929371,2026-04-22 05:39:23.379295,2026-04-22 05:39:49.790684,0 days 00:00:26.411389,32,0.33975546454430694,48,1,0.00297429392865237,last,0.0011608039135615614,COMPLETE
27,0.5296132007103962,2026-04-22 05:39:49.790742,2026-04-22 05:40:21.992712,0 days 00:00:32.201970,32,0.3822909235501531,48,2,0.0019785513794473896,last,0.0003480350678887707,COMPLETE
28,0.5209535707577777,2026-04-22 05:40:21.992764,2026-04-22 05:40:56.462393,0 days 00:00:34.469629,32,0.4550020235433374,16,2,0.0012245037215663228,last,0.00016627410020488747,COMPLETE
29,0.5260946209772909,2026-04-22 05:40:56.462448,2026-04-22 05:41:19.557912,0 days 00:00:23.095464,32,0.22300298212499972,24,1,0.0020176706949522213,last,0.0007092592672344343,COMPLETE
