number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5328460243697396,2026-04-22 09:38:58.940467,2026-04-22 09:39:06.350638,0 days 00:00:07.410171,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5090541927932454,2026-04-22 09:39:06.350687,2026-04-22 09:39:33.064621,0 days 00:00:26.713934,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5302619896739974,2026-04-22 09:39:33.064675,2026-04-22 09:39:39.052517,0 days 00:00:05.987842,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5357140516143338,2026-04-22 09:39:39.052570,2026-04-22 09:39:55.482569,0 days 00:00:16.429999,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5471384366155488,2026-04-22 09:39:55.482626,2026-04-22 09:40:15.976059,0 days 00:00:20.493433,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5498732826463918,2026-04-22 09:40:15.976113,2026-04-22 09:40:29.710607,0 days 00:00:13.734494,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.535374149659864,2026-04-22 09:40:29.710639,2026-04-22 09:40:42.129864,0 days 00:00:12.419225,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,PRUNED
7,0.5427638651769577,2026-04-22 09:40:42.129895,2026-04-22 09:40:54.987520,0 days 00:00:12.857625,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5459518459463948,2026-04-22 09:40:54.987574,2026-04-22 09:41:20.554354,0 days 00:00:25.566780,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5310724289715886,2026-04-22 09:41:20.554407,2026-04-22 09:41:31.398066,0 days 00:00:10.843659,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.5553954915299453,2026-04-22 09:41:31.398099,2026-04-22 09:41:59.237611,0 days 00:00:27.839512,32,0.34749150908843895,48,2,0.0009807210744879143,mean,6.577496589979118e-05,PRUNED
11,0.5416382852732696,2026-04-22 09:41:59.237642,2026-04-22 09:42:27.959603,0 days 00:00:28.721961,32,0.5981281654343766,24,2,0.0011511579879447053,max,2.6513269570416758e-05,COMPLETE
12,0.5375518204404932,2026-04-22 09:42:27.959657,2026-04-22 09:42:59.119260,0 days 00:00:31.159603,32,0.5364413061267733,16,2,0.001039236944124102,max,4.109510613546822e-05,COMPLETE
13,0.5450646925436842,2026-04-22 09:42:59.119315,2026-04-22 09:43:31.960486,0 days 00:00:32.841171,32,0.4610724800899924,24,2,0.0013923316814539568,max,0.0002647573637067346,PRUNED
14,0.5424569827931173,2026-04-22 09:43:31.960520,2026-04-22 09:44:01.418140,0 days 00:00:29.457620,32,0.37525206699645375,32,2,0.0008394130713939595,last,1.1930220880472098e-05,PRUNED
15,0.5472751058892056,2026-04-22 09:44:01.418171,2026-04-22 09:44:34.816301,0 days 00:00:33.398130,32,0.5861351784261821,24,2,0.0029203861274317323,mean,0.0001770493761224845,COMPLETE
16,0.5478391356542618,2026-04-22 09:44:34.816354,2026-04-22 09:44:58.104542,0 days 00:00:23.288188,32,0.4228637999289193,16,2,0.0028426877955972786,mean,0.0002411118470806792,PRUNED
17,0.5412555489532301,2026-04-22 09:44:58.104576,2026-04-22 09:45:21.684306,0 days 00:00:23.579730,32,0.5917702367090979,48,2,0.0015015157590411307,mean,0.00072474462125081,COMPLETE
18,0.5618780845671602,2026-04-22 09:45:21.684364,2026-04-22 09:45:52.728313,0 days 00:00:31.043949,32,0.2030198808949361,24,1,0.0007115802532189517,mean,0.00015755415567885838,PRUNED
19,0.5434092755876042,2026-04-22 09:45:52.728343,2026-04-22 09:46:19.261453,0 days 00:00:26.533110,32,0.4794030830388812,32,2,0.0017762152812165035,mean,3.1527270538835195e-05,COMPLETE
20,0.5327997865812992,2026-04-22 09:46:19.261506,2026-04-22 09:46:54.860347,0 days 00:00:35.598841,64,0.3705386664376376,32,2,0.00012557913195426843,mean,0.0018120564962406363,PRUNED
21,0.5332293614632856,2026-04-22 09:46:54.860380,2026-04-22 09:47:24.811948,0 days 00:00:29.951568,32,0.5529302723594364,24,2,0.0028315348136723575,max,1.882019355698382e-05,COMPLETE
22,0.5438143260206628,2026-04-22 09:47:24.812033,2026-04-22 09:47:50.176332,0 days 00:00:25.364299,32,0.5469646017081974,24,2,0.001967517394758393,max,6.113584510773686e-05,COMPLETE
23,0.5479791916766706,2026-04-22 09:47:50.176386,2026-04-22 09:48:17.132293,0 days 00:00:26.955907,32,0.5027544372770058,24,2,0.0014296100907493572,last,3.072554145497347e-05,PRUNED
24,0.5323935881299053,2026-04-22 09:48:17.132325,2026-04-22 09:48:39.940148,0 days 00:00:22.807823,32,0.5800692918392918,24,2,0.002058891665833004,mean,0.00010265685969553704,COMPLETE
25,0.5247848393536709,2026-04-22 09:48:39.940201,2026-04-22 09:49:02.982445,0 days 00:00:23.042244,32,0.5145744788866373,24,2,0.0028650785321789178,max,0.00810614917139277,COMPLETE
26,0.5390398581222682,2026-04-22 09:49:02.982500,2026-04-22 09:49:31.081971,0 days 00:00:28.099471,32,0.43460420831631824,48,1,0.0006622215471934365,mean,0.0005030991303115321,COMPLETE
27,0.5682072829131652,2026-04-22 09:49:31.082025,2026-04-22 09:50:16.924821,0 days 00:00:45.842796,32,0.5630168636803854,16,2,0.0012679993458775834,mean,1.035598875682942e-05,PRUNED
28,0.5437641723356009,2026-04-22 09:50:16.924853,2026-04-22 09:50:33.797600,0 days 00:00:16.872747,64,0.49194189539346983,24,2,0.0016797372578564794,last,2.0538168209282466e-05,PRUNED
29,0.5351717883336995,2026-04-22 09:50:33.797632,2026-04-22 09:50:55.554137,0 days 00:00:21.756505,32,0.25054064934233883,24,1,0.002034455134978102,max,4.6811206698724085e-05,COMPLETE
