number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
0,0.543130453437725,2026-04-22 09:51:17.730128,2026-04-22 09:51:29.090495,0 days 00:00:11.360367,128,0.2232334448672798,24,1,0.00190303683817358,0.0006358358856676254,COMPLETE
1,0.5134085400892489,2026-04-22 09:51:29.090543,2026-04-22 09:51:44.590325,0 days 00:00:15.499782,128,0.3727780074568463,16,2,0.0002692655251486473,0.000684792009557478,COMPLETE
2,0.5236914674765384,2026-04-22 09:51:44.590379,2026-04-22 09:52:12.545387,0 days 00:00:27.955008,64,0.4430179407605753,24,1,0.0001786013788939711,1.5673095467235405e-05,COMPLETE
3,0.5419815024217014,2026-04-22 09:52:12.545442,2026-04-22 09:52:47.956682,0 days 00:00:35.411240,32,0.21375540844608737,32,2,0.0022038218939289885,5.9750279999602906e-05,COMPLETE
4,0.5390741469544652,2026-04-22 09:52:47.956746,2026-04-22 09:52:56.411678,0 days 00:00:08.454932,128,0.4391599915244341,32,1,0.002299958642814372,1.8427970406864546e-05,COMPLETE
5,0.5438842203548085,2026-04-22 09:52:56.411733,2026-04-22 09:53:22.051657,0 days 00:00:25.639924,32,0.25636968998990506,32,2,0.0015308837415731389,1.6736010167825783e-05,PRUNED
6,0.5603174603174603,2026-04-22 09:53:22.051700,2026-04-22 09:54:03.299595,0 days 00:00:41.247895,32,0.34338629141770904,24,1,0.0001483039268456802,0.0038842777547031426,PRUNED
7,0.5375944827215046,2026-04-22 09:54:03.299626,2026-04-22 09:54:22.986744,0 days 00:00:19.687118,64,0.2478376983753207,32,1,0.001131225105716033,0.0019158219548093154,COMPLETE
8,0.5392557022809124,2026-04-22 09:54:22.986800,2026-04-22 09:54:33.834398,0 days 00:00:10.847598,128,0.32574239243053066,16,2,0.0005639239991667561,0.005280796376895365,PRUNED
9,0.5601907429638522,2026-04-22 09:54:33.834430,2026-04-22 09:54:51.556845,0 days 00:00:17.722415,64,0.45336150260416935,32,1,0.0019375501864120402,0.0025764174425233167,PRUNED
10,0.5377276864034058,2026-04-22 09:54:51.556877,2026-04-22 09:55:04.248570,0 days 00:00:12.691693,128,0.5838224762263868,48,1,0.0008346023248836161,0.00015546306621573152,COMPLETE
11,0.5569494464452448,2026-04-22 09:55:04.248625,2026-04-22 09:55:33.021616,0 days 00:00:28.772991,32,0.21372589781031556,24,2,0.0029694063468143545,0.0001185568402848475,PRUNED
12,0.5537895612250507,2026-04-22 09:55:33.021647,2026-04-22 09:56:14.850133,0 days 00:00:41.828486,32,0.2868777726945719,48,2,0.0008287670130296048,8.444842120144281e-05,COMPLETE
13,0.5545918367346938,2026-04-22 09:56:14.850187,2026-04-22 09:56:43.735433,0 days 00:00:28.885246,32,0.2872567498454318,48,2,0.00048671552589713246,0.0006043919261603298,PRUNED
14,0.5401493930905695,2026-04-22 09:56:43.735464,2026-04-22 09:56:56.972778,0 days 00:00:13.237314,128,0.29842543657875115,48,1,0.0008571131858324278,0.0003488741324399338,PRUNED
15,0.5682606375883686,2026-04-22 09:56:56.972808,2026-04-22 09:57:46.517103,0 days 00:00:49.544295,32,0.5259134876019591,48,2,0.0004402664664603688,5.872249735590818e-05,PRUNED
