number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.531660551467474,2026-04-22 10:04:31.075784,2026-04-22 10:04:36.718505,0 days 00:00:05.642721,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5261680898844971,2026-04-22 10:04:36.718565,2026-04-22 10:05:12.769473,0 days 00:00:36.050908,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5215537041329965,2026-04-22 10:05:12.769529,2026-04-22 10:05:24.369748,0 days 00:00:11.600219,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5356770799924379,2026-04-22 10:05:24.369804,2026-04-22 10:05:45.181501,0 days 00:00:20.811697,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5428980614953697,2026-04-22 10:05:45.181561,2026-04-22 10:06:09.129112,0 days 00:00:23.947551,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5197972567580921,2026-04-22 10:06:09.129168,2026-04-22 10:06:24.617176,0 days 00:00:15.488008,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5270017099929558,2026-04-22 10:06:24.617247,2026-04-22 10:06:40.125705,0 days 00:00:15.508458,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5435565540108491,2026-04-22 10:06:40.125759,2026-04-22 10:06:56.394712,0 days 00:00:16.268953,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5394998739784687,2026-04-22 10:06:56.394766,2026-04-22 10:07:30.792683,0 days 00:00:34.397917,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5412631719354408,2026-04-22 10:07:30.792738,2026-04-22 10:07:38.153118,0 days 00:00:07.360380,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.5447180857157183,2026-04-22 10:07:38.153149,2026-04-22 10:08:00.442303,0 days 00:00:22.289154,64,0.34749150908843895,48,2,0.0009807210744879143,mean,0.008794181893206379,COMPLETE
11,0.5515877203206137,2026-04-22 10:08:00.442359,2026-04-22 10:08:19.579084,0 days 00:00:19.136725,64,0.3518416973680894,48,2,0.0010609115786206938,mean,0.00802610670187857,COMPLETE
12,0.5408056051747703,2026-04-22 10:08:19.579138,2026-04-22 10:08:44.508547,0 days 00:00:24.929409,64,0.3604822409543777,48,2,0.000990068669005758,mean,0.007179088481271028,COMPLETE
13,0.5429124503485048,2026-04-22 10:08:44.508602,2026-04-22 10:09:02.436272,0 days 00:00:17.927670,64,0.3984165248678857,48,2,0.0008454827178799088,mean,0.009360707553903523,COMPLETE
14,0.5719687875150059,2026-04-22 10:09:02.436328,2026-04-22 10:09:24.436345,0 days 00:00:22.000017,64,0.5997449754566205,48,2,0.0010181511738028188,mean,0.001896944143788782,PRUNED
15,0.556342537014806,2026-04-22 10:09:24.436377,2026-04-22 10:09:44.978498,0 days 00:00:20.542121,64,0.3280863256834777,48,2,0.0012466736815396461,last,0.0031437526143240782,PRUNED
16,0.5606909430438842,2026-04-22 10:09:44.978545,2026-04-22 10:10:03.195058,0 days 00:00:18.216513,64,0.38093052515104336,16,2,0.0008027619536484554,mean,0.00037405108411146527,PRUNED
