number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5428020766669397,2026-04-22 07:41:23.622183,2026-04-22 07:41:29.836058,0 days 00:00:06.213875,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5199436501637595,2026-04-22 07:41:29.836108,2026-04-22 07:41:46.700463,0 days 00:00:16.864355,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5105023817436501,2026-04-22 07:41:46.700518,2026-04-22 07:41:58.572108,0 days 00:00:11.871590,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5362544994245529,2026-04-22 07:41:58.572164,2026-04-22 07:42:17.307777,0 days 00:00:18.735613,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5439083307535377,2026-04-22 07:42:17.307834,2026-04-22 07:42:45.414515,0 days 00:00:28.106681,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.554111952109449,2026-04-22 07:42:45.414571,2026-04-22 07:42:56.427685,0 days 00:00:11.013114,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.5291322599990773,2026-04-22 07:42:56.427716,2026-04-22 07:43:04.304253,0 days 00:00:07.876537,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,PRUNED
7,0.5446342566246607,2026-04-22 07:43:04.304285,2026-04-22 07:43:20.557531,0 days 00:00:16.253246,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5408727703576754,2026-04-22 07:43:20.557586,2026-04-22 07:43:43.356082,0 days 00:00:22.798496,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5281763646880716,2026-04-22 07:43:43.356136,2026-04-22 07:43:54.567906,0 days 00:00:11.211770,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5343437992006248,2026-04-22 07:43:54.567963,2026-04-22 07:44:07.119007,0 days 00:00:12.551044,64,0.34749150908843895,48,2,0.0009807210744879143,mean,0.008794181893206379,COMPLETE
11,0.5384839515002218,2026-04-22 07:44:07.119063,2026-04-22 07:44:40.800336,0 days 00:00:33.681273,32,0.20290616077889656,32,2,0.0011511579879447053,mean,0.0021240029415411006,PRUNED
12,0.5359365418330136,2026-04-22 07:44:40.800371,2026-04-22 07:45:01.985725,0 days 00:00:21.185354,32,0.2837885337149462,32,2,0.0029873391364590276,mean,0.000159754267808109,COMPLETE
13,0.5465231009661548,2026-04-22 07:45:01.985779,2026-04-22 07:45:39.502316,0 days 00:00:37.516537,32,0.37124118898729647,16,2,0.0010856808379147646,mean,5.2353730500768835e-05,PRUNED
14,0.5398954246267691,2026-04-22 07:45:39.502348,2026-04-22 07:46:03.738318,0 days 00:00:24.235970,64,0.5997449754566205,32,2,0.0014647912716336665,mean,0.00035877153415268885,COMPLETE
15,0.5558336809901265,2026-04-22 07:46:03.738369,2026-04-22 07:46:34.161533,0 days 00:00:30.423164,32,0.25022908929891347,32,2,0.0007972189141873554,last,3.5233186488454995e-05,PRUNED
16,0.5610054896663157,2026-04-22 07:46:34.161564,2026-04-22 07:46:47.707812,0 days 00:00:13.546248,64,0.41776417457023274,32,2,0.0006709226679051856,mean,0.002290253815359094,PRUNED
17,0.5471325496040695,2026-04-22 07:46:47.707852,2026-04-22 07:47:03.103350,0 days 00:00:15.395498,64,0.2699913215722002,48,2,0.0016624339820308187,mean,0.0002654688330716993,COMPLETE
18,0.5628133049910271,2026-04-22 07:47:03.103405,2026-04-22 07:47:16.884852,0 days 00:00:13.781447,64,0.3455266660150377,48,1,0.0027923600487398214,max,0.00034236349565305467,PRUNED
19,0.5499466926250406,2026-04-22 07:47:16.884883,2026-04-22 07:47:49.347988,0 days 00:00:32.463105,64,0.29807124872235524,48,2,0.00015259146747200473,last,0.0008952103574485048,PRUNED
20,0.5476339674789288,2026-04-22 07:47:49.348021,2026-04-22 07:48:06.680999,0 days 00:00:17.332978,64,0.47147773758828215,48,2,0.0020188944710511515,mean,0.003378615556378216,COMPLETE
21,0.5545357622954619,2026-04-22 07:48:06.681052,2026-04-22 07:48:17.722425,0 days 00:00:11.041373,64,0.4617716023899773,48,2,0.0020571297819090366,mean,0.0032431095308392594,PRUNED
22,0.5387288796288802,2026-04-22 07:48:17.722457,2026-04-22 07:48:37.329454,0 days 00:00:19.606997,64,0.4801310767695883,48,2,0.0013795580827892944,mean,0.00895850999030052,COMPLETE
23,0.5455043375922122,2026-04-22 07:48:37.329508,2026-04-22 07:48:54.932987,0 days 00:00:17.603479,64,0.569847431244531,48,2,0.002068260066221846,mean,0.0014646476648127094,COMPLETE
24,0.5476024925336564,2026-04-22 07:48:54.933040,2026-04-22 07:49:10.236172,0 days 00:00:15.303132,64,0.5809266360213825,48,2,0.0014837115356414138,mean,0.0014367651207362647,PRUNED
25,0.5303296603275998,2026-04-22 07:49:10.236204,2026-04-22 07:49:23.860151,0 days 00:00:13.623947,64,0.5514508026332133,48,2,0.0009107204133280279,mean,0.0005811814970268888,COMPLETE
26,0.5418706835594863,2026-04-22 07:49:23.860205,2026-04-22 07:49:36.707276,0 days 00:00:12.847071,64,0.5071895400460263,48,1,0.0018198096533993617,mean,0.00023276087463681232,COMPLETE
27,0.5401129713546375,2026-04-22 07:49:36.707344,2026-04-22 07:49:50.300108,0 days 00:00:13.592764,64,0.559138818778741,48,2,0.001254805689754587,mean,0.004963989213092644,COMPLETE
28,0.5250331160743118,2026-04-22 07:49:50.300164,2026-04-22 07:50:03.675181,0 days 00:00:13.375017,64,0.3888062225983244,16,2,0.0007764077615326915,last,0.0005773141061029168,PRUNED
29,0.48853394785810306,2026-04-22 07:50:03.675213,2026-04-22 07:50:32.185843,0 days 00:00:28.510630,64,0.43133327759956597,24,1,0.00010318527292832798,max,0.0015535563907538483,PRUNED
