number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
0,0.5383417253885598,2026-04-22 07:50:45.347023,2026-04-22 07:50:56.217105,0 days 00:00:10.870082,128,0.2232334448672798,24,1,0.00190303683817358,0.0006358358856676254,COMPLETE
1,0.5171298961669926,2026-04-22 07:50:56.217153,2026-04-22 07:51:09.602168,0 days 00:00:13.385015,128,0.3727780074568463,16,2,0.0002692655251486473,0.000684792009557478,COMPLETE
2,0.5167177164290919,2026-04-22 07:51:09.602233,2026-04-22 07:51:35.403019,0 days 00:00:25.800786,64,0.4430179407605753,24,1,0.0001786013788939711,1.5673095467235405e-05,COMPLETE
3,0.5416922603151957,2026-04-22 07:51:35.403088,2026-04-22 07:52:05.951554,0 days 00:00:30.548466,32,0.21375540844608737,32,2,0.0022038218939289885,5.9750279999602906e-05,COMPLETE
4,0.5445787051378999,2026-04-22 07:52:05.951607,2026-04-22 07:52:13.141474,0 days 00:00:07.189867,128,0.4391599915244341,32,1,0.002299958642814372,1.8427970406864546e-05,COMPLETE
5,0.5460125778873459,2026-04-22 07:52:13.141528,2026-04-22 07:52:44.829701,0 days 00:00:31.688173,32,0.25636968998990506,32,2,0.0015308837415731389,1.6736010167825783e-05,COMPLETE
6,0.5519730350769149,2026-04-22 07:52:44.829763,2026-04-22 07:53:33.338047,0 days 00:00:48.508284,32,0.34338629141770904,24,1,0.0001483039268456802,0.0038842777547031426,PRUNED
7,0.5332091307765678,2026-04-22 07:53:33.338078,2026-04-22 07:53:45.835295,0 days 00:00:12.497217,64,0.2478376983753207,32,1,0.001131225105716033,0.0019158219548093154,COMPLETE
8,0.5564958844057717,2026-04-22 07:53:45.835349,2026-04-22 07:54:04.879607,0 days 00:00:19.044258,128,0.32574239243053066,16,2,0.0005639239991667561,0.005280796376895365,PRUNED
9,0.5430334566569742,2026-04-22 07:54:04.879639,2026-04-22 07:54:20.048594,0 days 00:00:15.168955,64,0.45336150260416935,32,1,0.0019375501864120402,0.0025764174425233167,COMPLETE
10,0.5624424710782658,2026-04-22 07:54:20.048648,2026-04-22 07:54:44.820927,0 days 00:00:24.772279,32,0.5838224762263868,48,2,0.0008033375528977522,9.88217506715559e-05,PRUNED
11,0.5651508830482548,2026-04-22 07:54:44.820964,2026-04-22 07:55:11.349784,0 days 00:00:26.528820,32,0.5134518484596067,32,2,0.0029508391928248314,1.0759416275208461e-05,PRUNED
12,0.5237140056322094,2026-04-22 07:55:11.349813,2026-04-22 07:55:21.764365,0 days 00:00:10.414552,128,0.3049085515253415,32,2,0.001175361248402948,4.200967624949498e-05,COMPLETE
13,0.5532179774983279,2026-04-22 07:55:21.764420,2026-04-22 07:56:21.101064,0 days 00:00:59.336644,32,0.4216536445547806,48,1,0.00039354762082346344,0.00017590426429598535,PRUNED
14,0.5621047473362868,2026-04-22 07:56:21.101095,2026-04-22 07:56:32.522235,0 days 00:00:11.421140,128,0.5087718335040773,32,1,0.0011263608439461867,2.6444834623252878e-05,PRUNED
15,0.5488568774632714,2026-04-22 07:56:32.522266,2026-04-22 07:56:56.561668,0 days 00:00:24.039402,32,0.2898693025872835,32,2,0.002975638713062909,0.00015953938333467644,COMPLETE
16,0.5491209599340706,2026-04-22 07:56:56.561720,2026-04-22 07:57:25.379261,0 days 00:00:28.817541,32,0.27410389575363375,32,2,0.0014427276274292136,0.00030560769039524575,COMPLETE
17,0.547734235508637,2026-04-22 07:57:25.379314,2026-04-22 07:57:49.968146,0 days 00:00:24.588832,32,0.2753265329937156,16,2,0.002926185926042778,0.000335485136067388,COMPLETE
18,0.5508737774069439,2026-04-22 07:57:49.968211,2026-04-22 07:58:19.590675,0 days 00:00:29.622464,32,0.29402790836794535,48,2,0.0006910162828204845,0.00016933605989550714,PRUNED
19,0.5535145043351263,2026-04-22 07:58:19.590715,2026-04-22 07:58:43.606433,0 days 00:00:24.015718,32,0.3711188720930705,32,2,0.0015145270343269069,0.0009589539171042836,COMPLETE
20,0.5359918234993423,2026-04-22 07:58:43.606485,2026-04-22 07:59:10.314088,0 days 00:00:26.707603,32,0.37473375527637903,32,2,0.00089243891741702,0.00091914001718262,COMPLETE
21,0.5500058694567237,2026-04-22 07:59:10.314144,2026-04-22 07:59:38.087500,0 days 00:00:27.773356,32,0.3503676285949573,32,2,0.0015935562710344112,0.0003500156678130221,COMPLETE
22,0.5586745336432445,2026-04-22 07:59:38.087555,2026-04-22 08:00:07.072399,0 days 00:00:28.984844,32,0.3540589851609013,32,2,0.0013991079877949063,0.0003365917674002692,PRUNED
23,0.541096426214347,2026-04-22 08:00:07.072432,2026-04-22 08:00:36.246033,0 days 00:00:29.173601,32,0.39979252078492866,32,2,0.0003952419420259875,0.0011702132329272138,COMPLETE
24,0.5502177906618121,2026-04-22 08:00:36.246087,2026-04-22 08:01:04.964374,0 days 00:00:28.718287,32,0.3211309641105405,32,2,0.0015590991279789276,0.009696558446794928,COMPLETE
25,0.5529663402003828,2026-04-22 08:01:04.964426,2026-04-22 08:01:18.627556,0 days 00:00:13.663130,64,0.3203868317990812,32,2,0.0009166422376359634,0.009911251873510659,PRUNED
26,0.5445100025825934,2026-04-22 08:01:18.627588,2026-04-22 08:01:42.949410,0 days 00:00:24.321822,32,0.40416936823160576,48,2,0.0005097191365113984,0.007193657724403028,PRUNED
