number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.525084595538849,2026-04-22 08:03:49.625783,2026-04-22 08:04:00.199486,0 days 00:00:10.573703,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5289524377337032,2026-04-22 08:04:00.199546,2026-04-22 08:04:27.413053,0 days 00:00:27.213507,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5299640149368249,2026-04-22 08:04:27.413109,2026-04-22 08:04:36.400648,0 days 00:00:08.987539,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5347893378244967,2026-04-22 08:04:36.400703,2026-04-22 08:04:54.423056,0 days 00:00:18.022353,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5414415612672216,2026-04-22 08:04:54.423125,2026-04-22 08:05:20.963309,0 days 00:00:26.540184,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5617074252868997,2026-04-22 08:05:20.963364,2026-04-22 08:05:40.659262,0 days 00:00:19.695898,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.526340550520341,2026-04-22 08:05:40.659295,2026-04-22 08:05:52.897449,0 days 00:00:12.238154,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5392606244631679,2026-04-22 08:05:52.897503,2026-04-22 08:06:06.686030,0 days 00:00:13.788527,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5637668779095563,2026-04-22 08:06:06.686098,2026-04-22 08:06:36.142182,0 days 00:00:29.456084,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,PRUNED
9,0.5294084536888041,2026-04-22 08:06:36.142214,2026-04-22 08:06:44.707159,0 days 00:00:08.564945,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.563866208421903,2026-04-22 08:06:44.707188,2026-04-22 08:07:17.231095,0 days 00:00:32.523907,32,0.34749150908843895,48,2,0.0009807210744879143,mean,6.577496589979118e-05,PRUNED
11,0.5502910384011761,2026-04-22 08:07:17.231126,2026-04-22 08:07:33.731763,0 days 00:00:16.500637,64,0.20290616077889656,32,2,0.0011511579879447053,mean,0.006877477209765817,PRUNED
12,0.5430337997794391,2026-04-22 08:07:33.731794,2026-04-22 08:08:05.799700,0 days 00:00:32.067906,32,0.2837885337149462,32,2,0.0029873391364590276,mean,0.0018716411800567146,COMPLETE
13,0.5508768165499449,2026-04-22 08:08:05.799763,2026-04-22 08:08:39.729393,0 days 00:00:33.929630,32,0.37124118898729647,16,2,0.0010856808379147646,mean,0.0002647573637067346,COMPLETE
14,0.5404473497988864,2026-04-22 08:08:39.729448,2026-04-22 08:09:12.214061,0 days 00:00:32.484613,32,0.5997449754566205,16,2,0.0008714079156172777,mean,0.00030952090692393534,COMPLETE
15,0.5284139212727117,2026-04-22 08:09:12.214119,2026-04-22 08:09:26.224139,0 days 00:00:14.010020,32,0.3750724614378547,16,2,0.0028471501243596833,last,0.0016379288268615266,PRUNED
16,0.539081236864397,2026-04-22 08:09:26.224169,2026-04-22 08:09:57.440217,0 days 00:00:31.216048,32,0.40435061626905994,16,2,0.0012436986746696447,mean,0.0002963576320624299,COMPLETE
17,0.532729403818265,2026-04-22 08:09:57.440282,2026-04-22 08:10:31.771654,0 days 00:00:34.331372,32,0.45217664972875743,16,2,0.0007942383092448929,mean,0.0006287898385846765,PRUNED
18,0.5352911950088673,2026-04-22 08:10:31.771686,2026-04-22 08:10:51.822586,0 days 00:00:20.050900,32,0.30679139997280513,48,1,0.0006448092529115405,max,0.002802702570404694,COMPLETE
19,0.5368416870294217,2026-04-22 08:10:51.822638,2026-04-22 08:11:45.684397,0 days 00:00:53.861759,32,0.36446761804450306,16,2,0.00015259146747200473,last,0.00017284686246148417,PRUNED
20,0.542850521137195,2026-04-22 08:11:45.684429,2026-04-22 08:12:19.450065,0 days 00:00:33.765636,32,0.4410950175168563,32,2,0.0014982807062764944,mean,3.547448239650553e-05,COMPLETE
