number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.529459569318725,2026-04-22 08:20:55.374599,2026-04-22 08:21:03.035174,0 days 00:00:07.660575,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5264759215059807,2026-04-22 08:21:03.035246,2026-04-22 08:21:35.211009,0 days 00:00:32.175763,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5156689468827573,2026-04-22 08:21:35.211065,2026-04-22 08:21:50.266478,0 days 00:00:15.055413,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5364366470921884,2026-04-22 08:21:50.266535,2026-04-22 08:22:06.750603,0 days 00:00:16.484068,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5454604447965881,2026-04-22 08:22:06.750660,2026-04-22 08:22:37.034503,0 days 00:00:30.283843,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5199798237423667,2026-04-22 08:22:37.034559,2026-04-22 08:22:51.086368,0 days 00:00:14.051809,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.49831287528561563,2026-04-22 08:22:51.086420,2026-04-22 08:22:55.013536,0 days 00:00:03.927116,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,PRUNED
7,0.5410889780832611,2026-04-22 08:22:55.013569,2026-04-22 08:23:11.970708,0 days 00:00:16.957139,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5347329394855377,2026-04-22 08:23:11.970764,2026-04-22 08:23:42.705967,0 days 00:00:30.735203,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5093037214885954,2026-04-22 08:23:42.706034,2026-04-22 08:23:52.747509,0 days 00:00:10.041475,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.53945746756069,2026-04-22 08:23:52.747540,2026-04-22 08:24:11.136155,0 days 00:00:18.388615,32,0.34749150908843895,48,2,0.0009807210744879143,mean,6.577496589979118e-05,COMPLETE
11,0.5315059357076164,2026-04-22 08:24:11.136209,2026-04-22 08:24:23.958367,0 days 00:00:12.822158,64,0.20290616077889656,32,2,0.0011511579879447053,mean,0.006877477209765817,PRUNED
12,0.5379901411852396,2026-04-22 08:24:23.958399,2026-04-22 08:24:55.828319,0 days 00:00:31.869920,32,0.2837885337149462,32,2,0.0029873391364590276,mean,0.0018716411800567146,COMPLETE
13,0.5462448911061278,2026-04-22 08:24:55.828373,2026-04-22 08:25:37.417905,0 days 00:00:41.589532,32,0.37124118898729647,16,2,0.0010856808379147646,mean,0.0002647573637067346,COMPLETE
14,0.5341699044115668,2026-04-22 08:25:37.417958,2026-04-22 08:26:09.017059,0 days 00:00:31.599101,32,0.5997449754566205,16,2,0.0010354646426155715,mean,0.0002648676859807939,COMPLETE
15,0.5349406429238361,2026-04-22 08:26:09.017115,2026-04-22 08:26:53.623418,0 days 00:00:44.606303,32,0.3724272838441889,16,2,0.000805531520668312,last,3.32773658552832e-05,PRUNED
16,0.535658581251485,2026-04-22 08:26:53.623450,2026-04-22 08:27:28.835069,0 days 00:00:35.211619,32,0.4043774778320117,16,2,0.0013481100283899911,mean,0.00032286696438381705,COMPLETE
17,0.5507603041216487,2026-04-22 08:27:28.835144,2026-04-22 08:28:07.547699,0 days 00:00:38.712555,32,0.4524911679400519,16,2,0.0007272373074277528,mean,2.983548043169906e-05,PRUNED
18,0.5418412529794991,2026-04-22 08:28:07.547742,2026-04-22 08:28:35.248747,0 days 00:00:27.701005,32,0.34002555748378566,48,1,0.0014196637234039449,max,0.00022755241818752544,COMPLETE
19,0.5356990174086267,2026-04-22 08:28:35.248799,2026-04-22 08:29:08.487999,0 days 00:00:33.239200,32,0.23975755245470246,16,2,0.0006791017562807302,last,0.0007575943736130871,COMPLETE
20,0.5441776710684274,2026-04-22 08:29:08.488054,2026-04-22 08:29:57.033125,0 days 00:00:48.545071,32,0.4410950175168564,32,2,0.00012557913195426843,mean,3.0526561449474225e-05,PRUNED
21,0.5426670608466921,2026-04-22 08:29:57.033156,2026-04-22 08:30:23.697711,0 days 00:00:26.664555,32,0.3403417361732266,48,1,0.0013755119997088479,max,0.0001630104176172594,COMPLETE
22,0.551844939362765,2026-04-22 08:30:23.697762,2026-04-22 08:30:43.768268,0 days 00:00:20.070506,32,0.3665827879213267,48,1,0.0016417043683755036,max,0.00013315964930418498,COMPLETE
23,0.5445040765730743,2026-04-22 08:30:43.768331,2026-04-22 08:31:03.950142,0 days 00:00:20.181811,32,0.3753488044616039,48,1,0.0017205062201525513,max,0.00042322594833874374,COMPLETE
24,0.5181531962378448,2026-04-22 08:31:03.950194,2026-04-22 08:31:12.151479,0 days 00:00:08.201285,32,0.3015907552382222,48,1,0.0008618962710087193,max,6.421831055835571e-05,PRUNED
25,0.5439775910364146,2026-04-22 08:31:12.151511,2026-04-22 08:31:45.770714,0 days 00:00:33.619203,32,0.5044793283943926,48,1,0.0005446618506706798,max,0.00011459225206136065,PRUNED
26,0.5499491498366877,2026-04-22 08:31:45.770746,2026-04-22 08:32:11.144366,0 days 00:00:25.373620,32,0.37634265327287186,16,1,0.001627971215035082,mean,4.317996638204551e-05,COMPLETE
27,0.5450035534804398,2026-04-22 08:32:11.144429,2026-04-22 08:32:37.988723,0 days 00:00:26.844294,32,0.3694648006746639,16,1,0.002128040623487019,mean,4.92765724837988e-05,COMPLETE
28,0.5480258770174736,2026-04-22 08:32:37.988776,2026-04-22 08:32:55.554177,0 days 00:00:17.565401,32,0.40896049249324956,16,1,0.00291498957965396,last,0.00016655713751566876,PRUNED
29,0.5542283580098706,2026-04-22 08:32:55.554208,2026-04-22 08:33:09.645698,0 days 00:00:14.091490,64,0.4807959667781619,24,1,0.0011805485088093196,max,0.0006427656926178166,PRUNED
