number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
0,0.53226718605044,2026-04-22 08:33:30.874449,2026-04-22 08:33:41.594962,0 days 00:00:10.720513,128,0.2232334448672798,24,1,0.00190303683817358,0.0006358358856676254,COMPLETE
1,0.5296953678711187,2026-04-22 08:33:41.595028,2026-04-22 08:33:55.914694,0 days 00:00:14.319666,128,0.3727780074568463,16,2,0.0002692655251486473,0.000684792009557478,COMPLETE
2,0.5276729875751515,2026-04-22 08:33:55.914748,2026-04-22 08:34:16.317890,0 days 00:00:20.403142,64,0.4430179407605753,24,1,0.0001786013788939711,1.5673095467235405e-05,COMPLETE
3,0.5476838789275069,2026-04-22 08:34:16.317945,2026-04-22 08:34:44.251010,0 days 00:00:27.933065,32,0.21375540844608737,32,2,0.0022038218939289885,5.9750279999602906e-05,COMPLETE
4,0.5390199667886255,2026-04-22 08:34:44.251068,2026-04-22 08:34:53.586506,0 days 00:00:09.335438,128,0.4391599915244341,32,1,0.002299958642814372,1.8427970406864546e-05,COMPLETE
5,0.543594141551149,2026-04-22 08:34:53.586562,2026-04-22 08:35:19.569016,0 days 00:00:25.982454,32,0.25636968998990506,32,2,0.0015308837415731389,1.6736010167825783e-05,COMPLETE
6,0.5320861678004535,2026-04-22 08:35:19.569069,2026-04-22 08:36:16.912945,0 days 00:00:57.343876,32,0.34338629141770904,24,1,0.0001483039268456802,0.0038842777547031426,PRUNED
7,0.5353660199340398,2026-04-22 08:36:16.912993,2026-04-22 08:36:33.721839,0 days 00:00:16.808846,64,0.2478376983753207,32,1,0.001131225105716033,0.0019158219548093154,COMPLETE
8,0.5299597686012991,2026-04-22 08:36:33.721893,2026-04-22 08:36:45.378954,0 days 00:00:11.657061,128,0.32574239243053066,16,2,0.0005639239991667561,0.005280796376895365,COMPLETE
9,0.539054330986151,2026-04-22 08:36:45.379008,2026-04-22 08:36:59.382980,0 days 00:00:14.003972,64,0.45336150260416935,32,1,0.0019375501864120402,0.0025764174425233167,COMPLETE
10,0.5349266294416077,2026-04-22 08:36:59.383033,2026-04-22 08:37:39.012283,0 days 00:00:39.629250,32,0.5838224762263868,48,2,0.0006559365756017924,9.88217506715559e-05,COMPLETE
11,0.549453114579165,2026-04-22 08:37:39.012342,2026-04-22 08:38:26.356134,0 days 00:00:47.343792,32,0.26944448569177093,32,2,0.0011515509890984254,7.400751811842144e-05,PRUNED
12,0.5414453856892572,2026-04-22 08:38:26.356167,2026-04-22 08:38:57.012131,0 days 00:00:30.655964,32,0.21277485531632942,32,2,0.0011264157172133705,5.579814299086883e-05,COMPLETE
13,0.5460181865961016,2026-04-22 08:38:57.012196,2026-04-22 08:39:27.782332,0 days 00:00:30.770136,32,0.2853397966267475,48,2,0.002990969908764004,3.114876379471996e-05,COMPLETE
14,0.5472035788760852,2026-04-22 08:39:27.782385,2026-04-22 08:39:57.178926,0 days 00:00:29.396541,32,0.30826945232122516,48,2,0.0029596284206078833,0.0001629229873745687,COMPLETE
15,0.5434886388429633,2026-04-22 08:39:57.178979,2026-04-22 08:40:31.198359,0 days 00:00:34.019380,32,0.3151513689805555,48,2,0.002964125751854148,0.00022360479265506476,COMPLETE
16,0.5563158596772042,2026-04-22 08:40:31.198412,2026-04-22 08:41:12.306966,0 days 00:00:41.108554,32,0.5254626319996347,48,2,0.000341082711634946,0.00021933324150205422,PRUNED
17,0.5507536347872481,2026-04-22 08:41:12.307006,2026-04-22 08:41:43.434559,0 days 00:00:31.127553,32,0.38892878466688063,48,2,0.0007667611066997244,0.00012086720975462237,PRUNED
18,0.5569761237828466,2026-04-22 08:41:43.434591,2026-04-22 08:42:17.048926,0 days 00:00:33.614335,32,0.30087700377877113,16,2,0.0014282300941894548,0.0005518841360020317,PRUNED
19,0.5355947351341446,2026-04-22 08:42:17.048970,2026-04-22 08:42:32.193235,0 days 00:00:15.144265,64,0.2005221333846,48,2,0.0008407654179943177,3.244191070587435e-05,COMPLETE
20,0.5508119495092668,2026-04-22 08:42:32.193287,2026-04-22 08:42:58.097064,0 days 00:00:25.903777,32,0.34614046844029056,32,2,0.0021712402906304902,0.00031908646371073555,COMPLETE
21,0.5519145387949971,2026-04-22 08:42:58.097117,2026-04-22 08:43:31.903947,0 days 00:00:33.806830,32,0.3575840067414254,32,2,0.002249516983311591,0.0003481534077027806,COMPLETE
22,0.5483504674723486,2026-04-22 08:43:31.904002,2026-04-22 08:43:59.721471,0 days 00:00:27.817469,32,0.35927964275303703,32,2,0.0019322968668556567,0.0004345332884914432,COMPLETE
23,0.5252100840336135,2026-04-22 08:43:59.721534,2026-04-22 08:44:55.681380,0 days 00:00:55.959846,32,0.35971785932752254,32,2,0.0003952419420259875,0.0011167339197085953,PRUNED
24,0.5549453630410782,2026-04-22 08:44:55.681416,2026-04-22 08:45:27.458644,0 days 00:00:31.777228,32,0.41223876094107686,32,2,0.0015839503203003973,0.0003254971661768274,COMPLETE
25,0.5383494350308029,2026-04-22 08:45:27.458698,2026-04-22 08:45:53.440302,0 days 00:00:25.981604,32,0.40820418282858356,32,2,0.001460176917615608,0.00030075292275414626,COMPLETE
26,0.5318124212875114,2026-04-22 08:45:53.440360,2026-04-22 08:46:45.561127,0 days 00:00:52.120767,32,0.4866876305603674,32,2,0.0001033068516658351,0.0011319688443038158,COMPLETE
27,0.5468187274909964,2026-04-22 08:46:45.561183,2026-04-22 08:47:33.538193,0 days 00:00:47.977010,32,0.4124689051264062,32,2,0.0009477287837124993,0.0003354578194111791,PRUNED
28,0.5399064541619671,2026-04-22 08:47:33.538255,2026-04-22 08:47:49.704213,0 days 00:00:16.165958,128,0.48577220569983565,32,2,0.0015337149583621481,0.0007691225074481927,COMPLETE
29,0.5405435188806837,2026-04-22 08:47:49.704283,2026-04-22 08:48:06.612191,0 days 00:00:16.907908,64,0.3912645806317034,24,1,0.0023851942652304754,0.008877799499860476,COMPLETE
