number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5342729090943299,2026-04-22 08:48:42.687905,2026-04-22 08:48:52.030940,0 days 00:00:09.343035,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5421944707457963,2026-04-22 08:48:52.030989,2026-04-22 08:49:18.250713,0 days 00:00:26.219724,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5333918684678091,2026-04-22 08:49:18.250768,2026-04-22 08:49:36.835555,0 days 00:00:18.584787,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.536207810872509,2026-04-22 08:49:36.835608,2026-04-22 08:49:54.042180,0 days 00:00:17.206572,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.546998027775242,2026-04-22 08:49:54.042256,2026-04-22 08:50:27.603951,0 days 00:00:33.561695,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5549219687875149,2026-04-22 08:50:27.604007,2026-04-22 08:50:42.831535,0 days 00:00:15.227528,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.5103950794409904,2026-04-22 08:50:42.831568,2026-04-22 08:50:48.788190,0 days 00:00:05.956622,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,PRUNED
7,0.5461663482785368,2026-04-22 08:50:48.788238,2026-04-22 08:51:03.832590,0 days 00:00:15.044352,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5416048982498909,2026-04-22 08:51:03.832657,2026-04-22 08:51:32.991846,0 days 00:00:29.159189,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5080968701843881,2026-04-22 08:51:32.991901,2026-04-22 08:51:35.238277,0 days 00:00:02.246376,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.5404176593787747,2026-04-22 08:51:35.238310,2026-04-22 08:51:59.640453,0 days 00:00:24.402143,32,0.34749150908843895,48,2,0.0009807210744879143,mean,6.577496589979118e-05,COMPLETE
11,0.5498461360407039,2026-04-22 08:51:59.640507,2026-04-22 08:52:22.999343,0 days 00:00:23.358836,64,0.20290616077889656,32,2,0.0011511579879447053,mean,0.006877477209765817,COMPLETE
12,0.5493267625017608,2026-04-22 08:52:22.999398,2026-04-22 08:52:55.188488,0 days 00:00:32.189090,32,0.2045099251982013,32,2,0.0010079650599845158,mean,0.00026859795618771346,COMPLETE
13,0.5401986062884796,2026-04-22 08:52:55.188545,2026-04-22 08:53:36.132634,0 days 00:00:40.944089,32,0.20976791237393935,16,2,0.0008454827178799088,mean,0.0002647573637067346,COMPLETE
14,0.5617647058823528,2026-04-22 08:53:36.132688,2026-04-22 08:53:49.697346,0 days 00:00:13.564658,64,0.5997449754566205,32,2,0.00098014372208812,mean,0.0014610529318023558,PRUNED
15,0.5551553954915299,2026-04-22 08:53:49.697377,2026-04-22 08:54:25.330912,0 days 00:00:35.633535,32,0.3781613157647114,32,2,0.0012279847451117237,last,0.009728613904848115,PRUNED
16,0.5340888925849185,2026-04-22 08:54:25.330944,2026-04-22 08:54:44.306185,0 days 00:00:18.975241,64,0.21018900478136432,32,2,0.0006402264839635144,mean,0.00030006637337248645,COMPLETE
17,0.5489711799097678,2026-04-22 08:54:44.306256,2026-04-22 08:55:09.937920,0 days 00:00:25.631664,32,0.2955586741544946,48,2,0.002977389056638744,mean,0.0006287898385846765,COMPLETE
18,0.5663331999466452,2026-04-22 08:55:09.937989,2026-04-22 08:55:33.155420,0 days 00:00:23.217431,64,0.2015523284661162,16,1,0.0006771380056245762,max,0.0001664675509259204,PRUNED
19,0.5393090569561159,2026-04-22 08:55:33.155453,2026-04-22 08:56:19.579825,0 days 00:00:46.424372,32,0.3640223863872962,32,2,0.0012710989717044253,last,4.1060502111491894e-05,PRUNED
20,0.532208140708858,2026-04-22 08:56:19.579856,2026-04-22 08:56:31.839872,0 days 00:00:12.260016,64,0.4278994383879004,32,2,0.00012557913195426843,mean,0.0005678770453532183,PRUNED
21,0.5558912799777275,2026-04-22 08:56:31.839904,2026-04-22 08:57:08.808058,0 days 00:00:36.968154,32,0.2916622345023855,48,2,0.002772731039007491,mean,0.0006289394772237445,COMPLETE
22,0.562985194077631,2026-04-22 08:57:08.808127,2026-04-22 08:57:47.326971,0 days 00:00:38.518844,32,0.2637617354131179,48,2,0.0015595842702660263,mean,0.00857705228543158,PRUNED
23,0.5485346117651562,2026-04-22 08:57:47.327007,2026-04-22 08:58:22.458145,0 days 00:00:35.131138,32,0.23298682449684216,48,2,0.0029891767731767996,mean,0.0030997021144751435,COMPLETE
24,0.5474489422025115,2026-04-22 08:58:22.458199,2026-04-22 08:58:52.287302,0 days 00:00:29.829103,32,0.2995901407861995,48,2,0.0012144289240009832,mean,0.0015103306217267099,COMPLETE
25,0.5646191810057356,2026-04-22 08:58:52.287357,2026-04-22 08:59:32.474430,0 days 00:00:40.187073,32,0.2414709887036864,48,2,0.000457023962865937,mean,3.2261744809639726e-05,PRUNED
26,0.5526477257569694,2026-04-22 08:59:32.474462,2026-04-22 08:59:46.590928,0 days 00:00:14.116466,64,0.32673408450304925,24,1,0.0007888465951708934,mean,0.0004670463413367683,PRUNED
