number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5186108163811992,2026-04-22 05:44:31.666052,2026-04-22 05:44:40.462725,0 days 00:00:08.796673,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5173218356589335,2026-04-22 05:44:40.462782,2026-04-22 05:45:06.634428,0 days 00:00:26.171646,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5137727781174851,2026-04-22 05:45:06.634482,2026-04-22 05:45:16.690096,0 days 00:00:10.055614,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5311407385777612,2026-04-22 05:45:16.690151,2026-04-22 05:45:39.506263,0 days 00:00:22.816112,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5376041820044335,2026-04-22 05:45:39.506324,2026-04-22 05:46:03.686921,0 days 00:00:24.180597,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5417684804418221,2026-04-22 05:46:03.686975,2026-04-22 05:46:15.342565,0 days 00:00:11.655590,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.5187537601448511,2026-04-22 05:46:15.342597,2026-04-22 05:46:28.935194,0 days 00:00:13.592597,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.534022337462521,2026-04-22 05:46:28.935279,2026-04-22 05:46:46.625302,0 days 00:00:17.690023,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5381532372328592,2026-04-22 05:46:46.625355,2026-04-22 05:47:05.998867,0 days 00:00:19.373512,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5265686474802127,2026-04-22 05:47:05.998921,2026-04-22 05:47:10.717623,0 days 00:00:04.718702,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.5483242942567099,2026-04-22 05:47:10.717654,2026-04-22 05:47:46.137581,0 days 00:00:35.419927,32,0.5878148443151463,24,2,0.0009807210744879143,max,7.31122986091168e-05,PRUNED
11,0.531925354270202,2026-04-22 05:47:46.137613,2026-04-22 05:48:15.096608,0 days 00:00:28.958995,32,0.5981281654343766,48,2,0.0011511579879447053,max,2.6513269570416758e-05,COMPLETE
12,0.5354452749570016,2026-04-22 05:48:15.096662,2026-04-22 05:48:47.303562,0 days 00:00:32.206900,32,0.35953468355875173,16,2,0.001039236944124102,mean,4.109510613546822e-05,COMPLETE
13,0.5364225293558755,2026-04-22 05:48:47.303616,2026-04-22 05:49:14.205242,0 days 00:00:26.901626,32,0.5036275293884735,24,2,0.0013923316814539568,max,0.0002647573637067346,COMPLETE
14,0.5380937813727497,2026-04-22 05:49:14.205302,2026-04-22 05:49:49.287635,0 days 00:00:35.082333,32,0.5199690201206848,32,2,0.0008394130713939595,last,1.1930220880472098e-05,COMPLETE
15,0.5381859599631814,2026-04-22 05:49:49.287695,2026-04-22 05:50:30.055951,0 days 00:00:40.768256,32,0.5219682666333011,24,2,0.0007797625044958505,last,1.0218065923188196e-05,PRUNED
