number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
0,0.5275479818351563,2026-04-22 05:57:22.275110,2026-04-22 05:57:33.408697,0 days 00:00:11.133587,128,0.2232334448672798,24,1,0.00190303683817358,0.0006358358856676254,COMPLETE
1,0.5217189109733466,2026-04-22 05:57:33.408747,2026-04-22 05:57:50.035303,0 days 00:00:16.626556,128,0.3727780074568463,16,2,0.0002692655251486473,0.000684792009557478,COMPLETE
2,0.5132836062349094,2026-04-22 05:57:50.035356,2026-04-22 05:58:22.933067,0 days 00:00:32.897711,64,0.4430179407605753,24,1,0.0001786013788939711,1.5673095467235405e-05,COMPLETE
3,0.5455408770828859,2026-04-22 05:58:22.933129,2026-04-22 05:58:52.042522,0 days 00:00:29.109393,32,0.21375540844608737,32,2,0.0022038218939289885,5.9750279999602906e-05,COMPLETE
4,0.5323924229910171,2026-04-22 05:58:52.042575,2026-04-22 05:59:01.331432,0 days 00:00:09.288857,128,0.4391599915244341,32,1,0.002299958642814372,1.8427970406864546e-05,COMPLETE
5,0.5425762547076852,2026-04-22 05:59:01.331500,2026-04-22 05:59:36.083139,0 days 00:00:34.751639,32,0.25636968998990506,32,2,0.0015308837415731389,1.6736010167825783e-05,COMPLETE
6,0.5233327373502593,2026-04-22 05:59:36.083192,2026-04-22 06:00:30.668560,0 days 00:00:54.585368,32,0.34338629141770904,24,1,0.0001483039268456802,0.0038842777547031426,PRUNED
7,0.5332359586272991,2026-04-22 06:00:30.668592,2026-04-22 06:00:46.712978,0 days 00:00:16.044386,64,0.2478376983753207,32,1,0.001131225105716033,0.0019158219548093154,COMPLETE
8,0.5506618723139375,2026-04-22 06:00:46.713032,2026-04-22 06:00:58.703509,0 days 00:00:11.990477,128,0.32574239243053066,16,2,0.0005639239991667561,0.005280796376895365,PRUNED
9,0.539361487391683,2026-04-22 06:00:58.703553,2026-04-22 06:01:11.706847,0 days 00:00:13.003294,64,0.45336150260416935,32,1,0.0019375501864120402,0.0025764174425233167,COMPLETE
10,0.5487475492083314,2026-04-22 06:01:11.706899,2026-04-22 06:01:40.051073,0 days 00:00:28.344174,32,0.5838224762263868,48,2,0.0006559365756017924,9.88217506715559e-05,COMPLETE
11,0.5402356085930855,2026-04-22 06:01:40.051124,2026-04-22 06:02:11.706070,0 days 00:00:31.654946,32,0.5787847505560597,48,2,0.000653055515858278,0.00010590901422099055,COMPLETE
12,0.5405784771521951,2026-04-22 06:02:11.706122,2026-04-22 06:02:46.617625,0 days 00:00:34.911503,32,0.5832024009781274,48,2,0.0009138483209207609,0.00012256700654327124,COMPLETE
