number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.528913334095412,2026-04-22 06:11:43.600907,2026-04-22 06:11:51.033386,0 days 00:00:07.432479,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5237306472896688,2026-04-22 06:11:51.033435,2026-04-22 06:12:17.997547,0 days 00:00:26.964112,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5117740335679019,2026-04-22 06:12:17.997601,2026-04-22 06:12:35.645428,0 days 00:00:17.647827,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5362335663515108,2026-04-22 06:12:35.645485,2026-04-22 06:12:48.818216,0 days 00:00:13.172731,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5471700512465368,2026-04-22 06:12:48.818283,2026-04-22 06:13:14.537609,0 days 00:00:25.719326,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5284309113781036,2026-04-22 06:13:14.537665,2026-04-22 06:13:25.392901,0 days 00:00:10.855236,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5210328261027158,2026-04-22 06:13:25.392959,2026-04-22 06:13:33.320089,0 days 00:00:07.927130,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,PRUNED
7,0.5418196595105202,2026-04-22 06:13:33.320121,2026-04-22 06:13:49.617679,0 days 00:00:16.297558,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5383180072835639,2026-04-22 06:13:49.617732,2026-04-22 06:14:21.928283,0 days 00:00:32.310551,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5259030308622041,2026-04-22 06:14:21.928343,2026-04-22 06:14:26.747383,0 days 00:00:04.819040,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.5380361070488486,2026-04-22 06:14:26.747416,2026-04-22 06:14:54.155659,0 days 00:00:27.408243,32,0.34749150908843895,48,2,0.0009807210744879143,mean,6.577496589979118e-05,COMPLETE
11,0.5354873117734036,2026-04-22 06:14:54.155713,2026-04-22 06:15:11.423579,0 days 00:00:17.267866,64,0.20290616077889656,32,2,0.0011511579879447053,mean,0.006877477209765817,COMPLETE
12,0.5452978366805319,2026-04-22 06:15:11.423634,2026-04-22 06:15:34.681147,0 days 00:00:23.257513,32,0.2837885337149462,32,2,0.0029873391364590276,mean,0.0018716411800567146,COMPLETE
13,0.5394745371825576,2026-04-22 06:15:34.681207,2026-04-22 06:16:05.656720,0 days 00:00:30.975513,32,0.37124118898729647,16,2,0.0010856808379147646,mean,0.0002647573637067346,COMPLETE
14,0.5373886335406661,2026-04-22 06:16:05.656782,2026-04-22 06:16:34.446719,0 days 00:00:28.789937,32,0.5997449754566205,32,2,0.002860539910779082,mean,0.0010596658721793134,COMPLETE
15,0.5630715643231288,2026-04-22 06:16:34.446782,2026-04-22 06:17:02.077913,0 days 00:00:27.631131,32,0.28545507422756705,32,2,0.0015617500002908413,last,3.5233186488454995e-05,PRUNED
16,0.5396709050693598,2026-04-22 06:17:02.077946,2026-04-22 06:17:39.661833,0 days 00:00:37.583887,32,0.40881338676030543,32,2,0.0007711082118253128,mean,0.00020209383297684012,COMPLETE
17,0.5567342776354041,2026-04-22 06:17:39.661887,2026-04-22 06:18:05.492529,0 days 00:00:25.830642,32,0.23909469475679834,48,2,0.0029846306391884347,mean,0.0005591555587645796,PRUNED
18,0.5651343279628636,2026-04-22 06:18:05.492561,2026-04-22 06:18:28.004531,0 days 00:00:22.511970,32,0.3311941285873849,16,1,0.0015073888250254068,max,0.0015956302864339892,PRUNED
19,0.5507479587579712,2026-04-22 06:18:28.004562,2026-04-22 06:19:08.490068,0 days 00:00:40.485506,32,0.3712627264609081,32,2,0.0008784343727621156,last,0.002694297729687126,PRUNED
20,0.5196027389135291,2026-04-22 06:19:08.490100,2026-04-22 06:19:39.811877,0 days 00:00:31.321777,32,0.28767120734269314,32,2,0.00012557913195426843,mean,3.547448239650553e-05,PRUNED
21,0.5387830687086306,2026-04-22 06:19:39.811923,2026-04-22 06:19:59.602747,0 days 00:00:19.790824,64,0.25955408509745376,32,2,0.002097726748441096,mean,0.003141495309797363,COMPLETE
22,0.5421663697878165,2026-04-22 06:19:59.602811,2026-04-22 06:20:13.205157,0 days 00:00:13.602346,64,0.20249060039951777,32,2,0.0013315914683365254,mean,0.009898228709441783,COMPLETE
23,0.5441160044949299,2026-04-22 06:20:13.205210,2026-04-22 06:20:32.819128,0 days 00:00:19.613918,64,0.2006644904778293,32,2,0.0013469805286928855,mean,0.008287868084215047,COMPLETE
24,0.5424355515780019,2026-04-22 06:20:32.819181,2026-04-22 06:20:54.244756,0 days 00:00:21.425575,64,0.22935153606691142,32,2,0.0006535369809390356,mean,0.00045669639918746686,COMPLETE
25,0.5369192023549795,2026-04-22 06:20:54.244810,2026-04-22 06:21:32.899614,0 days 00:00:38.654804,32,0.3057240480856892,32,2,0.0015955846700185954,mean,0.006411766561255139,COMPLETE
26,0.5426739822465553,2026-04-22 06:21:32.899685,2026-04-22 06:21:48.101362,0 days 00:00:15.201677,64,0.23347841031114894,48,1,0.0011911416973807158,mean,0.0016013113669958695,COMPLETE
27,0.5604161286263915,2026-04-22 06:21:48.101415,2026-04-22 06:22:30.321157,0 days 00:00:42.219742,32,0.26794285074242363,16,2,0.001960287698543716,last,0.00358886378205421,PRUNED
28,0.5299467633884009,2026-04-22 06:22:30.321191,2026-04-22 06:23:11.308862,0 days 00:00:40.987671,32,0.20421388858530262,24,2,0.0007046423989211423,max,0.009623536330443447,COMPLETE
29,0.5653561661071048,2026-04-22 06:23:11.308915,2026-04-22 06:23:22.854515,0 days 00:00:11.545600,64,0.23638692838152234,24,1,0.0017703540924100046,mean,0.0008860489278273006,PRUNED
