number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.52866101311764,2026-04-22 09:04:15.967534,2026-04-22 09:04:25.199966,0 days 00:00:09.232432,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5319824873067687,2026-04-22 09:04:25.200016,2026-04-22 09:04:48.030254,0 days 00:00:22.830238,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5070013034825962,2026-04-22 09:04:48.030321,2026-04-22 09:04:57.229867,0 days 00:00:09.199546,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5139193197090651,2026-04-22 09:04:57.229921,2026-04-22 09:05:10.216353,0 days 00:00:12.986432,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5351569021793516,2026-04-22 09:05:10.216407,2026-04-22 09:05:43.158073,0 days 00:00:32.941666,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5038790583984272,2026-04-22 09:05:43.158137,2026-04-22 09:05:49.061893,0 days 00:00:05.903756,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.5250202183728095,2026-04-22 09:05:49.061926,2026-04-22 09:05:57.456744,0 days 00:00:08.394818,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5384582123091894,2026-04-22 09:05:57.456798,2026-04-22 09:06:10.078057,0 days 00:00:12.621259,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5329280213788037,2026-04-22 09:06:10.078112,2026-04-22 09:06:34.013162,0 days 00:00:23.935050,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.507456325115253,2026-04-22 09:06:34.013217,2026-04-22 09:06:48.551138,0 days 00:00:14.537921,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5423116717028869,2026-04-22 09:06:48.551193,2026-04-22 09:07:17.373899,0 days 00:00:28.822706,64,0.34749150908843895,48,2,0.0009807210744879143,mean,0.008794181893206379,COMPLETE
11,0.5451258974313674,2026-04-22 09:07:17.373953,2026-04-22 09:07:37.927651,0 days 00:00:20.553698,64,0.3518416973680894,48,2,0.0010609115786206938,mean,0.00802610670187857,COMPLETE
12,0.5289798845145407,2026-04-22 09:07:37.927705,2026-04-22 09:07:49.045136,0 days 00:00:11.117431,64,0.3604822409543777,48,2,0.000990068669005758,mean,0.007179088481271028,COMPLETE
13,0.5344029382807897,2026-04-22 09:07:49.045190,2026-04-22 09:08:11.104326,0 days 00:00:22.059136,64,0.3984165248678857,48,2,0.0008454827178799088,mean,0.009360707553903523,COMPLETE
14,0.5315349224436453,2026-04-22 09:08:11.104379,2026-04-22 09:08:26.372991,0 days 00:00:15.268612,64,0.5997449754566205,48,2,0.0010181511738028188,mean,0.001896944143788782,COMPLETE
15,0.5384605914913013,2026-04-22 09:08:26.373064,2026-04-22 09:08:46.985509,0 days 00:00:20.612445,64,0.3280863256834777,48,2,0.0012466736815396461,last,0.0031437526143240782,COMPLETE
16,0.5233474273082998,2026-04-22 09:08:46.985563,2026-04-22 09:09:05.485020,0 days 00:00:18.499457,64,0.38093052515104336,16,2,0.0008027619536484554,mean,0.00037405108411146527,COMPLETE
17,0.5347788897538976,2026-04-22 09:09:05.485075,2026-04-22 09:09:35.342259,0 days 00:00:29.857184,32,0.46293197940339287,48,2,0.0007140543742913117,mean,0.0008832219187185327,COMPLETE
18,0.5141014400340083,2026-04-22 09:09:35.342312,2026-04-22 09:09:41.672128,0 days 00:00:06.329816,64,0.3424836272841992,48,1,0.000483621622562576,max,0.009400497036265054,PRUNED
19,0.510561135023115,2026-04-22 09:09:41.672167,2026-04-22 09:10:02.025503,0 days 00:00:20.353336,64,0.4438057302504088,48,2,0.00015259146747200473,last,0.00010897201724696731,PRUNED
20,0.5303479667155646,2026-04-22 09:10:02.025536,2026-04-22 09:10:39.987918,0 days 00:00:37.962382,32,0.28767120734269314,16,2,0.0003410098377122444,mean,0.003734053772947436,COMPLETE
21,0.5347577724078636,2026-04-22 09:10:39.987989,2026-04-22 09:11:01.728396,0 days 00:00:21.740407,64,0.33125931589670776,48,2,0.0013372037905573348,last,0.002143314719612489,COMPLETE
22,0.5342688721222847,2026-04-22 09:11:01.728452,2026-04-22 09:11:16.187094,0 days 00:00:14.458642,64,0.3635319504847977,48,2,0.0012273668387745157,last,0.004989681913061356,COMPLETE
23,0.5363471249120485,2026-04-22 09:11:16.187150,2026-04-22 09:11:28.740566,0 days 00:00:12.553416,64,0.20423120967261849,48,2,0.0029681288959547986,last,0.0014946380625540166,COMPLETE
24,0.5356817332131247,2026-04-22 09:11:28.740620,2026-04-22 09:11:43.381591,0 days 00:00:14.640971,64,0.415522174490718,48,2,0.000721628465602573,last,0.0034596069924582645,COMPLETE
25,0.529349720155588,2026-04-22 09:11:43.381646,2026-04-22 09:11:54.265398,0 days 00:00:10.883752,64,0.300029903725054,48,2,0.0011758665929717167,last,0.00546757487509663,COMPLETE
26,0.5295711469334435,2026-04-22 09:11:54.265453,2026-04-22 09:12:09.935296,0 days 00:00:15.669843,64,0.35308160210292505,48,1,0.0006352389884490112,mean,0.000535170011277343,COMPLETE
27,0.5304476442656837,2026-04-22 09:12:09.935351,2026-04-22 09:12:24.059302,0 days 00:00:14.123951,64,0.3149175435042061,48,2,0.001614427220865497,mean,0.0002014441675635609,COMPLETE
28,0.5194350092843611,2026-04-22 09:12:24.059354,2026-04-22 09:12:53.014540,0 days 00:00:28.955186,32,0.379671680012915,16,2,0.0009359009533550011,max,0.002692431123747846,COMPLETE
29,0.5074127211860354,2026-04-22 09:12:53.014596,2026-04-22 09:13:02.608409,0 days 00:00:09.593813,64,0.23976102439336863,24,1,0.00010318527292832798,last,0.006430161076423878,PRUNED
