number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5294568153633197,2026-04-22 09:22:52.064006,2026-04-22 09:23:00.180547,0 days 00:00:08.116541,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5204846508363006,2026-04-22 09:23:00.180597,2026-04-22 09:23:21.572760,0 days 00:00:21.392163,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5257902576445218,2026-04-22 09:23:21.572815,2026-04-22 09:23:31.081551,0 days 00:00:09.508736,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5244857404767466,2026-04-22 09:23:31.081616,2026-04-22 09:23:45.435240,0 days 00:00:14.353624,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5343096914140385,2026-04-22 09:23:45.435302,2026-04-22 09:24:27.395626,0 days 00:00:41.960324,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5218233510737875,2026-04-22 09:24:27.395680,2026-04-22 09:24:41.887249,0 days 00:00:14.491569,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5137201170568253,2026-04-22 09:24:41.887303,2026-04-22 09:24:53.058695,0 days 00:00:11.171392,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5355032866831709,2026-04-22 09:24:53.058750,2026-04-22 09:25:11.033742,0 days 00:00:17.974992,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5296543884331196,2026-04-22 09:25:11.033796,2026-04-22 09:25:30.759232,0 days 00:00:19.725436,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5200393503928792,2026-04-22 09:25:30.759290,2026-04-22 09:25:38.801211,0 days 00:00:08.041921,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5411049608234186,2026-04-22 09:25:38.801280,2026-04-22 09:26:06.324513,0 days 00:00:27.523233,64,0.34749150908843895,48,2,0.0009807210744879143,mean,0.008794181893206379,COMPLETE
11,0.5289484873216579,2026-04-22 09:26:06.324567,2026-04-22 09:26:25.708305,0 days 00:00:19.383738,64,0.3518416973680894,48,2,0.0010609115786206938,mean,0.00802610670187857,COMPLETE
12,0.5321409605335102,2026-04-22 09:26:25.708360,2026-04-22 09:26:38.711608,0 days 00:00:13.003248,64,0.37085262838590366,48,2,0.0009246590475112692,mean,0.002933540928301409,COMPLETE
13,0.5288775362131729,2026-04-22 09:26:38.711661,2026-04-22 09:27:06.060853,0 days 00:00:27.349192,64,0.44842821963369733,16,2,0.001036149565027149,mean,0.0019956284717761543,COMPLETE
14,0.5312028020953036,2026-04-22 09:27:06.060908,2026-04-22 09:27:20.102681,0 days 00:00:14.041773,64,0.5997449754566205,48,2,0.002610470799418265,mean,0.007297669547391609,COMPLETE
15,0.5349249484274858,2026-04-22 09:27:20.102742,2026-04-22 09:27:55.102415,0 days 00:00:34.999673,64,0.28545507422756705,32,2,0.0008767686042260253,last,0.0005402576441817611,COMPLETE
16,0.5296440854867454,2026-04-22 09:27:55.102470,2026-04-22 09:28:08.716785,0 days 00:00:13.614315,64,0.21723426930486545,48,2,0.0013839644553375087,mean,0.002290253815359094,COMPLETE
17,0.5325289742866899,2026-04-22 09:28:08.716845,2026-04-22 09:28:36.764656,0 days 00:00:28.047811,32,0.35171239911390806,16,2,0.0029909447489485292,mean,0.004312852703620677,COMPLETE
18,0.5239162331599306,2026-04-22 09:28:36.764710,2026-04-22 09:28:50.490794,0 days 00:00:13.726084,64,0.3926625480650831,32,1,0.0006504488955292023,max,0.009658121649522226,PRUNED
19,0.5102972200389978,2026-04-22 09:28:50.490830,2026-04-22 09:29:14.208578,0 days 00:00:23.717748,64,0.30850387766294224,48,2,0.00015259146747200473,last,0.00024045253302393366,COMPLETE
20,0.5434439956572489,2026-04-22 09:29:14.208632,2026-04-22 09:29:38.611073,0 days 00:00:24.402441,32,0.26759088412209775,48,2,0.0006823851348157014,mean,0.0012147752888298764,COMPLETE
21,0.5342640962381775,2026-04-22 09:29:38.611127,2026-04-22 09:30:29.492639,0 days 00:00:50.881512,32,0.25994407308536177,48,2,0.0007392985247807391,mean,0.001107799050114267,COMPLETE
22,0.5245043422742738,2026-04-22 09:30:29.492704,2026-04-22 09:31:14.301866,0 days 00:00:44.809162,32,0.20278824842360224,48,2,0.00041477217016434187,mean,0.001432615223285905,COMPLETE
23,0.5400162193991154,2026-04-22 09:31:14.301926,2026-04-22 09:31:52.287166,0 days 00:00:37.985240,32,0.3313944143572052,48,2,0.0013384101740924676,mean,0.004044756440292937,COMPLETE
24,0.538759385620909,2026-04-22 09:31:52.287239,2026-04-22 09:32:14.347548,0 days 00:00:22.060309,32,0.33703485972284425,48,2,0.0014282931982723909,mean,0.004623831569675525,COMPLETE
25,0.5221695681303753,2026-04-22 09:32:14.347603,2026-04-22 09:33:00.267083,0 days 00:00:45.919480,32,0.42132745045373354,48,2,0.0005636925479106041,mean,0.0006400747523274652,COMPLETE
26,0.5347719264168367,2026-04-22 09:33:00.267140,2026-04-22 09:33:27.260320,0 days 00:00:26.993180,32,0.386169799770249,48,1,0.0011911416973807158,mean,0.004153647907068463,COMPLETE
27,0.5279019203114166,2026-04-22 09:33:27.260374,2026-04-22 09:34:04.509654,0 days 00:00:37.249280,32,0.288766250582397,48,2,0.0007421833168945189,mean,0.00037754591720793657,COMPLETE
28,0.5341994796133287,2026-04-22 09:34:04.509708,2026-04-22 09:34:46.662646,0 days 00:00:42.152938,32,0.3234939358332797,48,2,0.00038251646240773825,last,0.0014625304393529916,COMPLETE
29,0.5312876193947804,2026-04-22 09:34:46.662700,2026-04-22 09:35:11.400817,0 days 00:00:24.738117,32,0.24155629295268916,24,1,0.0018102252660933738,max,0.0007985769448754306,COMPLETE
