number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5212543448831846,2026-04-22 06:25:34.549811,2026-04-22 06:25:43.199779,0 days 00:00:08.649968,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5254833032613784,2026-04-22 06:25:43.199829,2026-04-22 06:26:10.876616,0 days 00:00:27.676787,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5029293476955394,2026-04-22 06:26:10.876674,2026-04-22 06:26:18.154562,0 days 00:00:07.277888,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.530742729641184,2026-04-22 06:26:18.154616,2026-04-22 06:26:34.760933,0 days 00:00:16.606317,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5265287262789149,2026-04-22 06:26:34.760993,2026-04-22 06:27:06.904381,0 days 00:00:32.143388,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5164591832027363,2026-04-22 06:27:06.904434,2026-04-22 06:27:15.769073,0 days 00:00:08.864639,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,PRUNED
6,0.5082477148261159,2026-04-22 06:27:15.769104,2026-04-22 06:27:18.559914,0 days 00:00:02.790810,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,PRUNED
7,0.5229162104273507,2026-04-22 06:27:18.559945,2026-04-22 06:27:35.803042,0 days 00:00:17.243097,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5371370942749667,2026-04-22 06:27:35.803100,2026-04-22 06:28:00.171022,0 days 00:00:24.367922,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.526838848285543,2026-04-22 06:28:00.171084,2026-04-22 06:28:02.825139,0 days 00:00:02.654055,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,PRUNED
10,0.514712763363407,2026-04-22 06:28:02.825170,2026-04-22 06:28:13.459121,0 days 00:00:10.633951,32,0.5878148443151463,24,2,0.0009807210744879143,max,7.31122986091168e-05,PRUNED
11,0.5275414153423389,2026-04-22 06:28:13.459153,2026-04-22 06:28:32.443849,0 days 00:00:18.984696,64,0.5700084503645495,16,2,0.0029202477103736466,max,0.006877477209765817,COMPLETE
12,0.5157831546415995,2026-04-22 06:28:32.443905,2026-04-22 06:28:55.414445,0 days 00:00:22.970540,32,0.5013627930792096,16,2,0.001091902925540298,max,0.00023377317932437338,COMPLETE
13,0.5244720646399639,2026-04-22 06:28:55.414498,2026-04-22 06:29:16.009628,0 days 00:00:20.595130,32,0.515751157566892,16,2,0.0010856808379147646,max,0.007890122142467839,COMPLETE
14,0.5157251367139571,2026-04-22 06:29:16.009681,2026-04-22 06:29:30.981009,0 days 00:00:14.971328,64,0.4923645209213664,48,2,0.0007673645271911205,max,0.001983325791537936,COMPLETE
15,0.5142908509036042,2026-04-22 06:29:30.981063,2026-04-22 06:29:58.003834,0 days 00:00:27.022771,32,0.36800626092496724,16,2,0.0016589865796844338,max,3.870677301261946e-05,COMPLETE
16,0.531328988030408,2026-04-22 06:29:58.003903,2026-04-22 06:30:16.054878,0 days 00:00:18.050975,64,0.5281889012746768,24,2,0.002910758722226523,last,0.0002992819516740728,COMPLETE
17,0.5323811388866379,2026-04-22 06:30:16.054932,2026-04-22 06:30:28.889523,0 days 00:00:12.834591,64,0.5545046018321605,24,2,0.0029861409182983713,last,0.00029717527107193297,COMPLETE
18,0.5350841633887011,2026-04-22 06:30:28.889575,2026-04-22 06:30:47.127207,0 days 00:00:18.237632,32,0.45173146641192624,24,1,0.001507134793139114,last,3.541193435766799e-05,COMPLETE
19,0.5093021569932581,2026-04-22 06:30:47.127277,2026-04-22 06:31:06.693495,0 days 00:00:19.566218,32,0.4501381218103035,24,1,0.000756905227051883,last,3.264392363863798e-05,PRUNED
20,0.5225838567062593,2026-04-22 06:31:06.693526,2026-04-22 06:31:38.078090,0 days 00:00:31.384564,32,0.4410950175168564,24,1,0.0013301351384844718,last,3.117358343053072e-05,COMPLETE
21,0.5202062503470491,2026-04-22 06:31:38.078144,2026-04-22 06:31:58.568640,0 days 00:00:20.490496,32,0.5601019695655494,24,1,0.001944683872367271,last,1.0295282248258786e-05,COMPLETE
22,0.5202909990920709,2026-04-22 06:31:58.568694,2026-04-22 06:32:20.206180,0 days 00:00:21.637486,32,0.5989064572665566,24,1,0.001997394250884296,last,0.0006239022663158391,COMPLETE
23,0.5323964063692778,2026-04-22 06:32:20.206263,2026-04-22 06:32:48.905440,0 days 00:00:28.699177,32,0.541086529985401,24,1,0.0013663414629770311,last,0.00015593797657598076,COMPLETE
24,0.5187552518882322,2026-04-22 06:32:48.905507,2026-04-22 06:33:16.364555,0 days 00:00:27.459048,32,0.4738445964974808,24,1,0.0007619165014002094,last,0.0001351077786225641,COMPLETE
25,0.5287792601568532,2026-04-22 06:33:16.364607,2026-04-22 06:33:40.804961,0 days 00:00:24.440354,32,0.38792593371010814,48,1,0.0013371128341177997,last,5.3270089689495024e-05,COMPLETE
26,0.5163606894707421,2026-04-22 06:33:40.805012,2026-04-22 06:33:54.079446,0 days 00:00:13.274434,32,0.41843001177887384,24,1,0.0009233412600252637,last,2.3681530222276986e-05,COMPLETE
27,0.5173674164457311,2026-04-22 06:33:54.079510,2026-04-22 06:34:19.893514,0 days 00:00:25.814004,32,0.5466338697710562,24,1,0.000543390550841795,last,0.00011015929247976937,COMPLETE
28,0.5207930089587106,2026-04-22 06:34:19.893567,2026-04-22 06:34:41.869165,0 days 00:00:21.975598,32,0.4759818971270381,24,1,0.001426537968559314,last,2.240635642051671e-05,COMPLETE
29,0.5086563111658835,2026-04-22 06:34:41.869240,2026-04-22 06:34:59.086570,0 days 00:00:17.217330,32,0.5245510773958932,24,1,0.00010318527292832798,max,0.0005769178899127718,PRUNED
