number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
0,0.5269386799249869,2026-04-22 06:35:24.017579,2026-04-22 06:35:33.640690,0 days 00:00:09.623111,128,0.2232334448672798,24,1,0.00190303683817358,0.0006358358856676254,COMPLETE
1,0.5103870908248601,2026-04-22 06:35:33.640740,2026-04-22 06:35:39.428266,0 days 00:00:05.787526,128,0.3727780074568463,16,2,0.0002692655251486473,0.000684792009557478,COMPLETE
2,0.514250544540882,2026-04-22 06:35:39.428319,2026-04-22 06:36:00.923788,0 days 00:00:21.495469,64,0.4430179407605753,24,1,0.0001786013788939711,1.5673095467235405e-05,COMPLETE
3,0.5229199369737522,2026-04-22 06:36:00.923843,2026-04-22 06:36:37.611452,0 days 00:00:36.687609,32,0.21375540844608737,32,2,0.0022038218939289885,5.9750279999602906e-05,COMPLETE
4,0.5189708105372386,2026-04-22 06:36:37.611508,2026-04-22 06:36:45.771508,0 days 00:00:08.160000,128,0.4391599915244341,32,1,0.002299958642814372,1.8427970406864546e-05,COMPLETE
5,0.5356537141119725,2026-04-22 06:36:45.771561,2026-04-22 06:37:17.826128,0 days 00:00:32.054567,32,0.25636968998990506,32,2,0.0015308837415731389,1.6736010167825783e-05,COMPLETE
6,0.5113181587117447,2026-04-22 06:37:17.826182,2026-04-22 06:37:49.151263,0 days 00:00:31.325081,32,0.34338629141770904,24,1,0.0001483039268456802,0.0038842777547031426,COMPLETE
7,0.5289871138517888,2026-04-22 06:37:49.151319,2026-04-22 06:38:02.574337,0 days 00:00:13.423018,64,0.2478376983753207,32,1,0.001131225105716033,0.0019158219548093154,COMPLETE
8,0.5244531325617308,2026-04-22 06:38:02.574390,2026-04-22 06:38:10.442958,0 days 00:00:07.868568,128,0.32574239243053066,16,2,0.0005639239991667561,0.005280796376895365,COMPLETE
9,0.5271769970303389,2026-04-22 06:38:10.443013,2026-04-22 06:38:28.920861,0 days 00:00:18.477848,64,0.45336150260416935,32,1,0.0019375501864120402,0.0025764174425233167,COMPLETE
10,0.5236225858370992,2026-04-22 06:38:28.920915,2026-04-22 06:38:49.658378,0 days 00:00:20.737463,32,0.5838224762263868,48,2,0.0008033375528977522,9.88217506715559e-05,COMPLETE
11,0.5327631072160185,2026-04-22 06:38:49.658431,2026-04-22 06:39:10.947481,0 days 00:00:21.289050,64,0.2778658584931301,32,2,0.0010350405631183361,0.00024102385791033342,COMPLETE
12,0.5350454283554791,2026-04-22 06:39:10.947539,2026-04-22 06:39:38.025828,0 days 00:00:27.078289,32,0.29935157082221214,32,2,0.0011663950376995104,0.00019113354590616615,COMPLETE
13,0.5213808055359983,2026-04-22 06:39:38.025880,2026-04-22 06:40:13.748078,0 days 00:00:35.722198,32,0.30118467667922333,48,2,0.00040397050727518445,5.231043013994914e-05,COMPLETE
14,0.5244675260496205,2026-04-22 06:40:13.748131,2026-04-22 06:40:40.527807,0 days 00:00:26.779676,32,0.2832384449578339,32,2,0.0011263608439461867,0.00017409964607412412,COMPLETE
15,0.5272549001956769,2026-04-22 06:40:40.527862,2026-04-22 06:41:01.780825,0 days 00:00:21.252963,32,0.5259134876019591,32,2,0.002960287699976022,2.9644266303810776e-05,COMPLETE
16,0.5370328913228932,2026-04-22 06:41:01.780890,2026-04-22 06:41:30.605039,0 days 00:00:28.824149,32,0.3848459033604512,32,2,0.0014242341681822554,0.0007820833328059753,COMPLETE
17,0.5134155952103135,2026-04-22 06:41:30.605092,2026-04-22 06:42:06.079004,0 days 00:00:35.473912,32,0.3977779145544659,16,2,0.0006494267438768839,0.000741554156804502,COMPLETE
18,0.5243283027442891,2026-04-22 06:42:06.079056,2026-04-22 06:42:38.275810,0 days 00:00:32.196754,32,0.49620365512524456,48,2,0.00041854695025464483,0.009123804771224027,COMPLETE
19,0.5450658284725101,2026-04-22 06:42:38.275862,2026-04-22 06:43:17.735317,0 days 00:00:39.459455,32,0.36038953380342853,32,2,0.0015145270343269069,1.0514326987167745e-05,COMPLETE
20,0.5225448975658468,2026-04-22 06:43:17.735370,2026-04-22 06:43:49.788740,0 days 00:00:32.053370,32,0.3708303757251693,32,2,0.0008021129800120343,0.0017073331888745982,COMPLETE
21,0.5261533135327545,2026-04-22 06:43:49.788793,2026-04-22 06:44:33.249311,0 days 00:00:43.460518,32,0.3509376605388808,32,2,0.001533051025334397,1.2850334707145379e-05,COMPLETE
22,0.5363524154546788,2026-04-22 06:44:33.249372,2026-04-22 06:45:04.928307,0 days 00:00:31.678935,32,0.4032256830564448,32,2,0.0016006972677975423,3.0077701978743302e-05,COMPLETE
23,0.531030463015207,2026-04-22 06:45:04.928364,2026-04-22 06:45:37.484436,0 days 00:00:32.556072,32,0.4144156132102978,32,2,0.0029328742788320723,3.136985762953154e-05,COMPLETE
24,0.5294584634112703,2026-04-22 06:45:37.484489,2026-04-22 06:46:01.392146,0 days 00:00:23.907657,32,0.4847990748247962,32,2,0.0014633146715355096,0.0004485599501265461,COMPLETE
25,0.5274798140064915,2026-04-22 06:46:01.392205,2026-04-22 06:46:37.964266,0 days 00:00:36.572061,32,0.4011379889761731,32,2,0.0007851725528116822,1.1093373486981732e-05,COMPLETE
26,0.5253997073367142,2026-04-22 06:46:37.964319,2026-04-22 06:47:05.987448,0 days 00:00:28.023129,32,0.37787809646236936,48,2,0.001434185149930232,8.927296854386422e-05,COMPLETE
27,0.5179951755131145,2026-04-22 06:47:05.987515,2026-04-22 06:47:50.653508,0 days 00:00:44.665993,32,0.323819408991232,16,2,0.00044623305209617507,0.0011526072534538301,COMPLETE
28,0.5307273731864554,2026-04-22 06:47:50.653562,2026-04-22 06:48:00.432831,0 days 00:00:09.779269,128,0.408630206443222,24,2,0.0009413549002751135,2.7394836936107195e-05,COMPLETE
29,0.5199266812928116,2026-04-22 06:48:00.432884,2026-04-22 06:48:11.228591,0 days 00:00:10.795707,64,0.48080081306467115,24,1,0.001880693691664066,0.0003543396292473867,COMPLETE
