number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5256987722456902,2026-04-22 06:48:45.992822,2026-04-22 06:48:51.786098,0 days 00:00:05.793276,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5182400709858472,2026-04-22 06:48:51.786149,2026-04-22 06:49:10.066841,0 days 00:00:18.280692,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.515489867525668,2026-04-22 06:49:10.066902,2026-04-22 06:49:18.475281,0 days 00:00:08.408379,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5259420010038788,2026-04-22 06:49:18.475335,2026-04-22 06:49:34.674623,0 days 00:00:16.199288,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5322457128291463,2026-04-22 06:49:34.674677,2026-04-22 06:50:13.064720,0 days 00:00:38.390043,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5091439960632733,2026-04-22 06:50:13.064784,2026-04-22 06:50:25.792429,0 days 00:00:12.727645,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5006452182525262,2026-04-22 06:50:25.792484,2026-04-22 06:50:33.675497,0 days 00:00:07.883013,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5415202382297422,2026-04-22 06:50:33.675551,2026-04-22 06:50:49.579329,0 days 00:00:15.903778,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5152541161165226,2026-04-22 06:50:49.579386,2026-04-22 06:51:19.906200,0 days 00:00:30.326814,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5179780874404927,2026-04-22 06:51:19.906267,2026-04-22 06:51:29.190075,0 days 00:00:09.283808,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5206028602211927,2026-04-22 06:51:29.190132,2026-04-22 06:51:43.943413,0 days 00:00:14.753281,64,0.34749150908843895,48,2,0.0009807210744879143,mean,0.008794181893206379,COMPLETE
11,0.5237049418002855,2026-04-22 06:51:43.943468,2026-04-22 06:52:07.149442,0 days 00:00:23.205974,32,0.20290616077889656,32,2,0.0011511579879447053,mean,0.0021240029415411006,COMPLETE
12,0.534563200923946,2026-04-22 06:52:07.149496,2026-04-22 06:52:33.976642,0 days 00:00:26.827146,32,0.2837885337149462,32,2,0.0029873391364590276,mean,0.000159754267808109,COMPLETE
