number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5226221265085484,2026-04-22 07:01:35.916459,2026-04-22 07:01:44.638482,0 days 00:00:08.722023,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5215161191385688,2026-04-22 07:01:44.638531,2026-04-22 07:02:02.641254,0 days 00:00:18.002723,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5119049857699732,2026-04-22 07:02:02.641307,2026-04-22 07:02:11.051554,0 days 00:00:08.410247,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5237857210408083,2026-04-22 07:02:11.051607,2026-04-22 07:02:24.571696,0 days 00:00:13.520089,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5314318511709162,2026-04-22 07:02:24.571766,2026-04-22 07:02:46.856158,0 days 00:00:22.284392,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5194189121261935,2026-04-22 07:02:46.856213,2026-04-22 07:02:59.641498,0 days 00:00:12.785285,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5127405118578819,2026-04-22 07:02:59.641554,2026-04-22 07:03:11.593805,0 days 00:00:11.952251,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5380949370192856,2026-04-22 07:03:11.593860,2026-04-22 07:03:32.501833,0 days 00:00:20.907973,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5229357112315901,2026-04-22 07:03:32.501894,2026-04-22 07:03:58.059178,0 days 00:00:25.557284,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5235900976639458,2026-04-22 07:03:58.059244,2026-04-22 07:04:11.048862,0 days 00:00:12.989618,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5423685933785514,2026-04-22 07:04:11.048916,2026-04-22 07:04:28.056773,0 days 00:00:17.007857,64,0.34749150908843895,48,2,0.0009807210744879143,mean,0.008794181893206379,COMPLETE
11,0.5386997953658138,2026-04-22 07:04:28.056846,2026-04-22 07:04:47.665787,0 days 00:00:19.608941,64,0.3518416973680894,48,2,0.0010609115786206938,mean,0.00802610670187857,COMPLETE
12,0.5374161074172644,2026-04-22 07:04:47.665840,2026-04-22 07:05:08.583514,0 days 00:00:20.917674,64,0.3604822409543777,48,2,0.000990068669005758,mean,0.007179088481271028,COMPLETE
13,0.5239862294903669,2026-04-22 07:05:08.583568,2026-04-22 07:05:20.424574,0 days 00:00:11.841006,64,0.3984165248678857,48,2,0.0008454827178799088,mean,0.009360707553903523,COMPLETE
14,0.5253590961374308,2026-04-22 07:05:20.424628,2026-04-22 07:05:33.858926,0 days 00:00:13.434298,64,0.5997449754566205,48,2,0.0010181511738028188,mean,0.001896944143788782,COMPLETE
15,0.5370388441350069,2026-04-22 07:05:33.858994,2026-04-22 07:06:01.199343,0 days 00:00:27.340349,64,0.3280863256834777,48,2,0.0012466736815396461,last,0.0031437526143240782,COMPLETE
16,0.5111149001683121,2026-04-22 07:06:01.199395,2026-04-22 07:06:12.830972,0 days 00:00:11.631577,64,0.38093052515104336,16,2,0.0008027619536484554,mean,0.00037405108411146527,COMPLETE
17,0.5379559627558983,2026-04-22 07:06:12.831025,2026-04-22 07:06:46.823314,0 days 00:00:33.992289,32,0.46293197940339287,48,2,0.0007140543742913117,mean,0.0008832219187185327,COMPLETE
18,0.5175492283565336,2026-04-22 07:06:46.823384,2026-04-22 07:07:06.691755,0 days 00:00:19.868371,64,0.3424836272841992,48,1,0.000483621622562576,max,0.009400497036265054,COMPLETE
19,0.5207725904397235,2026-04-22 07:07:06.691810,2026-04-22 07:07:24.617515,0 days 00:00:17.925705,64,0.4438057302504088,48,2,0.00015259146747200473,last,0.00010897201724696731,COMPLETE
20,0.5057289582499667,2026-04-22 07:07:24.617568,2026-04-22 07:07:51.296780,0 days 00:00:26.679212,32,0.28767120734269314,16,2,0.0003410098377122444,mean,0.003734053772947436,PRUNED
21,0.5367172653443762,2026-04-22 07:07:51.296812,2026-04-22 07:08:10.076889,0 days 00:00:18.780077,64,0.2684686736690093,32,2,0.0024425167194313817,mean,0.0024688434457888347,COMPLETE
22,0.5454602542452793,2026-04-22 07:08:10.076952,2026-04-22 07:08:30.107264,0 days 00:00:20.030312,64,0.20279903622647819,32,2,0.0013631418961655099,mean,0.0051338399051783215,COMPLETE
23,0.5294809423801912,2026-04-22 07:08:30.107317,2026-04-22 07:08:42.847034,0 days 00:00:12.739717,64,0.2011834230244996,48,2,0.001344573148332928,mean,0.00537415398359838,COMPLETE
24,0.5185721009469079,2026-04-22 07:08:42.847087,2026-04-22 07:09:00.998934,0 days 00:00:18.151847,64,0.21979160368540973,48,2,0.000721628465602573,mean,0.0016176302658366727,COMPLETE
25,0.52846838995836,2026-04-22 07:09:00.998989,2026-04-22 07:09:16.883553,0 days 00:00:15.884564,64,0.42513233345612556,32,2,0.0011758665929717167,mean,0.005575459005086509,COMPLETE
26,0.5346173362028107,2026-04-22 07:09:16.883607,2026-04-22 07:09:29.198939,0 days 00:00:12.315332,64,0.3582920694240212,24,1,0.00297429392865237,mean,0.0003029163661440257,COMPLETE
27,0.5368719815376302,2026-04-22 07:09:29.198995,2026-04-22 07:09:47.150116,0 days 00:00:17.951121,64,0.299947332324165,16,2,0.0017091066801060853,mean,0.009778757243624944,COMPLETE
