number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
0,0.5292051835193675,2026-04-22 07:10:34.475533,2026-04-22 07:10:49.014090,0 days 00:00:14.538557,128,0.2232334448672798,24,1,0.00190303683817358,0.0006358358856676254,COMPLETE
1,0.5124663050327973,2026-04-22 07:10:49.014141,2026-04-22 07:11:06.806512,0 days 00:00:17.792371,128,0.3727780074568463,16,2,0.0002692655251486473,0.000684792009557478,COMPLETE
2,0.5037023952587943,2026-04-22 07:11:06.806565,2026-04-22 07:11:20.022768,0 days 00:00:13.216203,64,0.4430179407605753,24,1,0.0001786013788939711,1.5673095467235405e-05,COMPLETE
3,0.5386537955422137,2026-04-22 07:11:20.022827,2026-04-22 07:11:46.077150,0 days 00:00:26.054323,32,0.21375540844608737,32,2,0.0022038218939289885,5.9750279999602906e-05,COMPLETE
4,0.5312148964071848,2026-04-22 07:11:46.077212,2026-04-22 07:11:54.834336,0 days 00:00:08.757124,128,0.4391599915244341,32,1,0.002299958642814372,1.8427970406864546e-05,COMPLETE
5,0.5338411268701686,2026-04-22 07:11:54.834390,2026-04-22 07:12:24.376519,0 days 00:00:29.542129,32,0.25636968998990506,32,2,0.0015308837415731389,1.6736010167825783e-05,COMPLETE
6,0.5130320420851268,2026-04-22 07:12:24.376572,2026-04-22 07:12:48.865244,0 days 00:00:24.488672,32,0.34338629141770904,24,1,0.0001483039268456802,0.0038842777547031426,PRUNED
7,0.5282994199509619,2026-04-22 07:12:48.865277,2026-04-22 07:13:05.951239,0 days 00:00:17.085962,64,0.2478376983753207,32,1,0.001131225105716033,0.0019158219548093154,COMPLETE
8,0.5132919241472624,2026-04-22 07:13:05.951293,2026-04-22 07:13:16.835803,0 days 00:00:10.884510,128,0.32574239243053066,16,2,0.0005639239991667561,0.005280796376895365,COMPLETE
9,0.5289699590235267,2026-04-22 07:13:16.835856,2026-04-22 07:13:26.443816,0 days 00:00:09.607960,64,0.45336150260416935,32,1,0.0019375501864120402,0.0025764174425233167,COMPLETE
10,0.5288608730484479,2026-04-22 07:13:26.443871,2026-04-22 07:13:55.026957,0 days 00:00:28.583086,32,0.5838224762263868,48,2,0.0006559365756017924,9.88217506715559e-05,COMPLETE
11,0.5269524906442946,2026-04-22 07:13:55.027009,2026-04-22 07:14:21.346624,0 days 00:00:26.319615,32,0.26944448569177093,32,2,0.0011515509890984254,7.400751811842144e-05,COMPLETE
12,0.5410024154424483,2026-04-22 07:14:21.346680,2026-04-22 07:14:56.453728,0 days 00:00:35.107048,32,0.21277485531632942,32,2,0.0011264157172133705,5.579814299086883e-05,COMPLETE
13,0.5408947965764801,2026-04-22 07:14:56.453781,2026-04-22 07:15:35.529156,0 days 00:00:39.075375,32,0.31045915386289835,48,2,0.002990969908764004,8.663049339532192e-05,COMPLETE
14,0.5388669917395428,2026-04-22 07:15:35.529208,2026-04-22 07:16:01.667247,0 days 00:00:26.138039,32,0.3047879001544762,48,2,0.0029596284206078833,0.0003488741324399338,COMPLETE
15,0.5370161629535788,2026-04-22 07:16:01.667302,2026-04-22 07:16:46.871167,0 days 00:00:45.203865,32,0.29119684017709946,48,2,0.0008690404736337399,0.00015953938333467644,COMPLETE
16,0.5354124419288404,2026-04-22 07:16:46.871251,2026-04-22 07:17:17.728309,0 days 00:00:30.857058,32,0.5271260242841501,48,2,0.000341082711634946,3.776414319785229e-05,COMPLETE
17,0.5408562976965516,2026-04-22 07:17:17.728360,2026-04-22 07:17:43.057267,0 days 00:00:25.328907,32,0.3843562856440281,48,2,0.00037035354010418097,0.00015357712368538424,COMPLETE
18,0.5226370173852412,2026-04-22 07:17:43.057324,2026-04-22 07:18:14.403507,0 days 00:00:31.346183,32,0.34353829702512817,16,2,0.001286892243268947,3.3894773232596385e-05,COMPLETE
19,0.5333486117077301,2026-04-22 07:18:14.403563,2026-04-22 07:18:30.212920,0 days 00:00:15.809357,64,0.20053762322034757,48,2,0.0008371862678951624,0.00027131713354741627,COMPLETE
20,0.5354499415276753,2026-04-22 07:18:30.212974,2026-04-22 07:18:54.402830,0 days 00:00:24.189856,32,0.2807036617640028,32,2,0.0028864307512154767,1.0708334784587737e-05,COMPLETE
21,0.5275022169805993,2026-04-22 07:18:54.402894,2026-04-22 07:19:23.021366,0 days 00:00:28.618472,32,0.3933416700573644,48,2,0.0003831413955367134,0.00011585028219367107,COMPLETE
22,0.5038657739518572,2026-04-22 07:19:23.021419,2026-04-22 07:19:59.693645,0 days 00:00:36.672226,32,0.38296948918301826,48,2,0.00010283042886665168,0.00020031612820257973,PRUNED
23,0.526964623281405,2026-04-22 07:19:59.693677,2026-04-22 07:20:35.623726,0 days 00:00:35.930049,32,0.4838704655123117,48,2,0.0003952419420259875,3.664020890155462e-05,COMPLETE
24,0.5285139754103116,2026-04-22 07:20:35.623780,2026-04-22 07:21:11.684598,0 days 00:00:36.060818,32,0.357083730783467,48,2,0.00023622220113472255,0.0006200128696804674,COMPLETE
25,0.5182312736089688,2026-04-22 07:21:11.684650,2026-04-22 07:21:38.895403,0 days 00:00:27.210753,32,0.3138108714741995,48,2,0.0007851725528116822,5.346080931234415e-05,COMPLETE
26,0.5219501691429964,2026-04-22 07:21:38.895459,2026-04-22 07:22:21.092306,0 days 00:00:42.196847,32,0.23913720774369013,24,2,0.000593042599184822,0.00011913458706134859,COMPLETE
27,0.5253209874895747,2026-04-22 07:22:21.092370,2026-04-22 07:23:05.470403,0 days 00:00:44.378033,32,0.4124689051264062,16,2,0.00048530305622575823,0.0002606961843238877,COMPLETE
28,0.5239513699973487,2026-04-22 07:23:05.470466,2026-04-22 07:23:14.835903,0 days 00:00:09.365437,128,0.40816351095814407,48,2,0.0014491451577056988,0.0011283990502361236,COMPLETE
29,0.5174803254635187,2026-04-22 07:23:14.835955,2026-04-22 07:23:28.221480,0 days 00:00:13.385525,64,0.2282572457368231,24,1,0.0002821716549792131,0.00040472758855913444,PRUNED
