number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_pool,params_weight_decay,state
0,0.5304607603247804,2026-04-22 07:24:03.176464,2026-04-22 07:24:10.138829,0 days 00:00:06.962365,128,0.2232334448672798,24,1,0.00190303683817358,last,0.0006358358856676254,COMPLETE
1,0.5407570162967017,2026-04-22 07:24:10.138879,2026-04-22 07:24:38.032835,0 days 00:00:27.893956,64,0.25579754426081674,32,2,0.00027010527749605503,mean,0.00012562773503807024,COMPLETE
2,0.5180470626235502,2026-04-22 07:24:38.032890,2026-04-22 07:24:54.665813,0 days 00:00:16.632923,128,0.3218455076693483,48,1,0.00013940346079873228,mean,0.0011290133559092666,COMPLETE
3,0.5212724063577886,2026-04-22 07:24:54.665867,2026-04-22 07:25:08.427714,0 days 00:00:13.761847,64,0.5100531293444458,16,2,0.002442046084491142,max,0.004835952776465951,COMPLETE
4,0.5388859196885336,2026-04-22 07:25:08.427783,2026-04-22 07:25:37.884891,0 days 00:00:29.457108,32,0.25636968998990506,32,2,0.0015308837415731389,mean,1.6736010167825783e-05,COMPLETE
5,0.5145305294668285,2026-04-22 07:25:37.884946,2026-04-22 07:25:49.644081,0 days 00:00:11.759135,128,0.4493192507310232,24,2,0.0003081601704446808,mean,1.551225912648474e-05,COMPLETE
6,0.5319178696033913,2026-04-22 07:25:49.644134,2026-04-22 07:26:02.544312,0 days 00:00:12.900178,128,0.4090931317527976,32,1,0.0004280849161757092,max,1.1919481947918725e-05,COMPLETE
7,0.5384654152871449,2026-04-22 07:26:02.544374,2026-04-22 07:26:23.088802,0 days 00:00:20.544428,64,0.26448851490160175,32,2,0.0023619797107806506,mean,0.002656813924114493,COMPLETE
8,0.5296013535755663,2026-04-22 07:26:23.088857,2026-04-22 07:26:54.966676,0 days 00:00:31.877819,32,0.5272059063689972,24,2,0.0018681142751959697,max,1.0491954332267901e-05,COMPLETE
9,0.5173763523929975,2026-04-22 07:26:54.966737,2026-04-22 07:27:09.056810,0 days 00:00:14.090073,128,0.3007129183301457,32,1,0.0005426206745606975,last,7.991621920384351e-05,COMPLETE
10,0.5148949893630537,2026-04-22 07:27:09.056880,2026-04-22 07:27:29.285609,0 days 00:00:20.228729,64,0.34749150908843895,48,2,0.0001062996582408466,mean,0.00013123555471846913,COMPLETE
11,0.542708140480296,2026-04-22 07:27:29.285664,2026-04-22 07:27:58.301081,0 days 00:00:29.015417,32,0.20283357522291956,32,2,0.0010320793743973972,mean,6.650808473663016e-05,COMPLETE
12,0.530411261813218,2026-04-22 07:27:58.301136,2026-04-22 07:28:40.487522,0 days 00:00:42.186386,32,0.20450346751386783,32,2,0.0009699463413977848,mean,8.937227496289288e-05,COMPLETE
13,0.5213656731489186,2026-04-22 07:28:40.487591,2026-04-22 07:29:19.273232,0 days 00:00:38.785641,32,0.3694815364110995,16,2,0.00022969217146521934,mean,0.00024368356267842817,COMPLETE
14,0.5183793041853122,2026-04-22 07:29:19.273285,2026-04-22 07:29:39.170974,0 days 00:00:19.897689,64,0.5997449754566205,32,2,0.0009009691464029879,mean,4.720845304099489e-05,COMPLETE
15,0.5259734313853868,2026-04-22 07:29:39.171028,2026-04-22 07:30:28.557474,0 days 00:00:49.386446,32,0.262880798359371,32,2,0.00020454945839295705,last,3.870677301261946e-05,COMPLETE
16,0.5282441630056283,2026-04-22 07:30:28.557537,2026-04-22 07:31:02.826716,0 days 00:00:34.269179,64,0.2182558114777632,32,2,0.000873939778810496,mean,0.0002944143969137106,COMPLETE
17,0.5324297270423094,2026-04-22 07:31:02.826779,2026-04-22 07:31:43.598967,0 days 00:00:40.772188,32,0.28875914408918324,48,2,0.00039681899799005665,mean,0.0006552637357265722,COMPLETE
18,0.528995741079898,2026-04-22 07:31:43.599021,2026-04-22 07:32:08.283624,0 days 00:00:24.684603,64,0.20115863184054567,16,1,0.0006901700380494831,max,3.68978474168867e-05,COMPLETE
19,0.5325264497134611,2026-04-22 07:32:08.283678,2026-04-22 07:32:37.597836,0 days 00:00:29.314158,32,0.3965812511573757,32,2,0.0012916877514920985,last,0.00016512084249191861,COMPLETE
20,0.5249976943730223,2026-04-22 07:32:37.597890,2026-04-22 07:33:03.611237,0 days 00:00:26.013347,64,0.330455390107678,32,2,0.0002455070404860966,mean,0.0005353171310928092,COMPLETE
21,0.5346839807438094,2026-04-22 07:33:03.611304,2026-04-22 07:33:32.571534,0 days 00:00:28.960230,32,0.2521714269622775,32,2,0.0013376598922263635,mean,2.19509161083656e-05,COMPLETE
22,0.5335112645824369,2026-04-22 07:33:32.571588,2026-04-22 07:34:05.417292,0 days 00:00:32.845704,32,0.24808889031489076,32,2,0.001339319624811291,mean,2.490789371823229e-05,COMPLETE
23,0.5326027842807626,2026-04-22 07:34:05.417347,2026-04-22 07:34:41.737175,0 days 00:00:36.319828,32,0.29054794157786445,32,2,0.0005810218572467721,mean,6.123001181137552e-05,COMPLETE
24,0.5302347506356101,2026-04-22 07:34:41.737242,2026-04-22 07:35:20.321021,0 days 00:00:38.583779,32,0.2372206838044818,32,2,0.001636616047300104,mean,0.00011827728656819014,COMPLETE
25,0.521932283952107,2026-04-22 07:35:20.321088,2026-04-22 07:36:23.256025,0 days 00:01:02.934937,32,0.27099405547228883,32,2,0.00017187901949446602,mean,2.474800982415937e-05,COMPLETE
26,0.5389772673694174,2026-04-22 07:36:23.256079,2026-04-22 07:36:38.131832,0 days 00:00:14.875753,64,0.3059371722379193,24,1,0.00297429392865237,mean,5.0394684156304816e-05,COMPLETE
27,0.5289186404734346,2026-04-22 07:36:38.131885,2026-04-22 07:36:50.487971,0 days 00:00:12.356086,64,0.31726264881013844,24,1,0.0029826305304231364,last,0.00019648935609203292,COMPLETE
28,0.5252236323652614,2026-04-22 07:36:50.488025,2026-04-22 07:37:15.953707,0 days 00:00:25.465682,64,0.34112469960087843,24,1,0.0003538624256677726,max,7.560770064280367e-05,COMPLETE
29,0.5093601833118161,2026-04-22 07:37:15.953776,2026-04-22 07:37:34.665003,0 days 00:00:18.711227,64,0.22725995481087452,24,1,0.00030700283274701605,mean,0.00045382366408712113,COMPLETE
