acc,auc,f1,fold_accs,fold_thr,best_params,best_val_auc,config,groups,model,n_features,runtime_min
0.5038461538461538,0.5168101652383571,0.550731367541212,"[0.491025641025641, 0.55, 0.5064102564102564, 0.5115384615384615, 0.46025641025641023]","[0.49999999999999994, 0.5299999999999999, 0.49999999999999994, 0.47, 0.45999999999999996]",{'C': 0.01},0.5195137688405822,baseline,[],ARX,33,1.7302697499593098
0.49256410256410255,0.5100564515852747,0.5655323819978046,"[0.514102564102564, 0.4756410256410256, 0.4705128205128205, 0.4858974358974359, 0.5166666666666667]","[0.44999999999999996, 0.48, 0.49, 0.51, 0.48]","{'hidden': 24, 'layers': 2, 'dropout': 0.4738445964974808, 'lr': 0.0025547161374311496, 'weight_decay': 0.00012127636738734584, 'batch_size': 32, 'pool': 'mean'}",0.5440928337109099,baseline,[],BiGRU,33,10.836013261477152
0.5087179487179487,0.5240681509068595,0.5595402298850575,"[0.5269230769230769, 0.5243589743589744, 0.517948717948718, 0.5076923076923077, 0.4666666666666667]","[0.5299999999999999, 0.48, 0.47, 0.49, 0.49999999999999994]","{'hidden': 16, 'layers': 2, 'dropout': 0.47274088540256054, 'lr': 0.0015066106237006218, 'weight_decay': 0.0008267235991373622, 'batch_size': 32}",0.5350813048790446,baseline,[],BiRNN+Attn,33,13.779578046003978
0.5010256410256411,0.5288406171013965,0.6075030254134732,"[0.49230769230769234, 0.49615384615384617, 0.5102564102564102, 0.5346153846153846, 0.4717948717948718]","[0.45999999999999996, 0.43999999999999995, 0.5299999999999999, 0.49, 0.52]","{'hidden': 48, 'layers': 2, 'dropout': 0.3745300691605417, 'lr': 0.0029793082320973044, 'weight_decay': 0.00021337419821293075, 'batch_size': 32, 'pool': 'last'}",0.5374546764761432,baseline,[],BiRNN+Skip,33,14.36908761660258
0.5064102564102564,0.5185979788535171,0.5542949756888168,"[0.49615384615384617, 0.5269230769230769, 0.4935897435897436, 0.5205128205128206, 0.4948717948717949]","[0.47, 0.49, 0.47, 0.49, 0.49]",{'C': 0.01},0.5215499277514449,+A,['A'],ARX,46,2.764707616964976
0.5182051282051282,0.5280219492070135,0.5679466544033112,"[0.5, 0.5089743589743589, 0.5333333333333333, 0.532051282051282, 0.5166666666666667]","[0.48, 0.45999999999999996, 0.49, 0.51, 0.51]","{'hidden': 48, 'layers': 1, 'dropout': 0.5692878805362387, 'lr': 0.0012011284596707712, 'weight_decay': 2.4917520915259674e-05, 'batch_size': 32, 'pool': 'mean'}",0.54506275368844,+A,['A'],BiGRU,46,12.843395411968231
0.5194871794871795,0.5288445701090951,0.5265285497726124,"[0.49743589743589745, 0.5089743589743589, 0.5243589743589744, 0.514102564102564, 0.5525641025641026]","[0.51, 0.51, 0.48, 0.49999999999999994, 0.49999999999999994]","{'hidden': 48, 'layers': 2, 'dropout': 0.5170568439631311, 'lr': 0.0029596284206078833, 'weight_decay': 4.528212375043773e-05, 'batch_size': 32}",0.5522132574730095,+A,['A'],BiRNN+Attn,46,14.355174676577251
0.498974358974359,0.5272106602603345,0.5742919389978214,"[0.5076923076923077, 0.4987179487179487, 0.5076923076923077, 0.5089743589743589, 0.4717948717948718]","[0.49999999999999994, 0.45999999999999996, 0.47, 0.49999999999999994, 0.49]","{'hidden': 32, 'layers': 2, 'dropout': 0.25636968998990506, 'lr': 0.0015308837415731389, 'weight_decay': 1.6736010167825783e-05, 'batch_size': 32, 'pool': 'mean'}",0.5471700512465368,+A,['A'],BiRNN+Skip,46,12.12684010664622
0.5038461538461538,0.5168096381706639,0.550731367541212,"[0.491025641025641, 0.55, 0.5064102564102564, 0.5115384615384615, 0.46025641025641023]","[0.49999999999999994, 0.5299999999999999, 0.49999999999999994, 0.47, 0.45999999999999996]",{'C': 0.01},0.5195137688405822,+B,['B'],ARX,38,1.7220212896664937
0.4905128205128205,0.5108760418481206,0.6009238802972484,"[0.5051282051282051, 0.48205128205128206, 0.5038461538461538, 0.4794871794871795, 0.48205128205128206]","[0.51, 0.49999999999999994, 0.49999999999999994, 0.48, 0.51]","{'hidden': 24, 'layers': 2, 'dropout': 0.5272059063689972, 'lr': 0.0018681142751959697, 'weight_decay': 1.0491954332267901e-05, 'batch_size': 32, 'pool': 'max'}",0.5371370942749667,+B,['B'],BiGRU,38,9.824369796117146
0.5074358974358975,0.5233465952349391,0.5489551537919699,"[0.4948717948717949, 0.5064102564102564, 0.5089743589743589, 0.5076923076923077, 0.5192307692307693]","[0.49, 0.48, 0.48, 0.49, 0.48]","{'hidden': 32, 'layers': 2, 'dropout': 0.36038953380342853, 'lr': 0.0015145270343269069, 'weight_decay': 1.0514326987167745e-05, 'batch_size': 32}",0.5450658284725101,+B,['B'],BiRNN+Attn,38,13.366119794050853
0.5148717948717949,0.5194841114126231,0.49546666666666667,"[0.5089743589743589, 0.541025641025641, 0.532051282051282, 0.48717948717948717, 0.5051282051282051]","[0.52, 0.48, 0.49999999999999994, 0.51, 0.49999999999999994]","{'hidden': 32, 'layers': 2, 'dropout': 0.28767120734269314, 'lr': 0.0022818440344001246, 'weight_decay': 0.0025712270232524765, 'batch_size': 64, 'pool': 'mean'}",0.5439495939658662,+B,['B'],BiRNN+Skip,38,10.397196702162425
0.5132561132561133,0.5200033677581248,0.5336621454993835,"[0.525096525096525, 0.5392535392535392, 0.5057915057915058, 0.5212355212355212, 0.4749034749034749]","[0.49999999999999994, 0.51, 0.47, 0.47, 0.45999999999999996]",{'C': 0.1},0.5227714733875045,+C,['C'],ARX,41,2.4345683733622234
