config,model,acc,auc,f1,n_features
baseline,ARX,0.5038461538461538,0.5168101652383571,0.550731367541212,33
baseline,BiGRU,0.49256410256410255,0.5100564515852747,0.5655323819978046,33
baseline,BiRNN+Attn,0.5087179487179487,0.5240681509068595,0.5595402298850575,33
baseline,BiRNN+Skip,0.5010256410256411,0.5288406171013965,0.6075030254134732,33
+A,ARX,0.5064102564102564,0.5185979788535171,0.5542949756888168,46
+A,BiGRU,0.5182051282051282,0.5280219492070135,0.5679466544033112,46
+A,BiRNN+Attn,0.5194871794871795,0.5288445701090951,0.5265285497726124,46
+A,BiRNN+Skip,0.498974358974359,0.5272106602603345,0.5742919389978214,46
+B,ARX,0.5038461538461538,0.5168096381706639,0.550731367541212,38
+B,BiGRU,0.4905128205128205,0.5108760418481206,0.6009238802972484,38
+B,BiRNN+Attn,0.5074358974358975,0.5233465952349391,0.5489551537919699,38
+B,BiRNN+Skip,0.5148717948717949,0.5194841114126231,0.49546666666666667,38
+C,ARX,0.5132561132561133,0.5200033677581248,0.5336621454993835,41
+C,BiGRU,0.5003861003861004,0.5211024042818335,0.5721842627286753,41
+C,BiRNN+Attn,0.5003861003861004,0.522637018354813,0.5924837287423893,41
+C,BiRNN+Skip,0.5055341055341055,0.52871093480254,0.5867928586792859,41
+AB,ARX,0.5064102564102564,0.5185979788535171,0.5542949756888168,51
+AB,BiGRU,0.5056410256410256,0.5304425075877983,0.5586080586080586,51
+AB,BiRNN+Attn,0.5146153846153846,0.5273436130859313,0.5779264214046823,51
+AB,BiRNN+Skip,0.5053846153846154,0.5284890629500664,0.5500349895031491,51
+AC,ARX,0.5132561132561133,0.5259338623298724,0.5677714285714286,54
+AC,BiGRU,0.5184041184041184,0.5328859721719066,0.5537801097066539,54
+AC,BiRNN+Attn,0.512998712998713,0.5318824174341508,0.544973544973545,54
+AC,BiRNN+Skip,0.5099099099099099,0.544704864338841,0.6133225020308692,54
+BC,ARX,0.5132561132561133,0.5200007117974585,0.5336621454993835,46
+BC,BiGRU,0.5196911196911197,0.535902612296673,0.5588652482269504,46
+BC,BiRNN+Attn,0.5073359073359074,0.5211079817992328,0.5828247602441151,46
+BC,BiRNN+Skip,0.5091377091377092,0.5197019162225015,0.5285537700865266,46
+ABC,ARX,0.5132561132561133,0.5259333311377392,0.5677714285714286,59
+ABC,BiGRU,0.5142857142857142,0.5344865868674431,0.5418790968681719,59
+ABC,BiRNN+Attn,0.520978120978121,0.5352845702496285,0.5658968975973875,59
+ABC,BiRNN+Skip,0.5127413127413127,0.535125478205718,0.5829477858559154,59
