Date,nasa_t2m,nasa_t2m_max,nasa_t2m_min,nasa_prectotcorr,nasa_allsky_sfc_sw_dwn,nasa_rh2m,nasa_ws2m
2010-01-01,-8.59,-3.4,-11.97,0.0,5.79,86.47,2.88
2010-01-02,-10.63,-7.82,-13.4,0.14,3.53,79.83,2.22
2010-01-03,-9.83,-6.13,-12.08,0.01,4.03,84.24,2.32
2010-01-04,-8.64,-3.19,-12.19,0.01,5.4,83.15,1.37
2010-01-05,-6.69,-2.41,-10.66,0.02,3.82,86.29,2.63
2010-01-06,-6.68,-1.97,-11.83,1.14,3.69,81.38,5.74
2010-01-07,-13.73,-11.14,-17.69,0.0,7.24,64.15,6.5
2010-01-08,-15.09,-9.35,-19.24,0.0,8.41,73.39,2.71
2010-01-09,-13.62,-6.85,-18.78,0.0,9.5,81.95,1.51
2010-01-10,-5.35,4.55,-14.14,0.0,9.77,78.16,3.23
2010-01-11,-1.1,4.89,-4.33,0.01,10.45,90.31,2.3
2010-01-12,-0.28,6.97,-5.0,0.0,10.68,87.57,3.75
2010-01-13,1.33,8.99,-2.66,0.0,11.45,76.97,3.44
2010-01-14,1.43,8.56,-1.33,0.06,10.31,91.59,2.47
2010-01-15,0.56,5.84,-2.25,0.0,10.84,85.94,1.64
2010-01-16,1.58,9.5,-2.26,0.0,10.04,80.78,1.55
2010-01-17,3.0,11.02,-2.53,0.0,10.16,73.71,1.27
2010-01-18,1.33,7.96,-2.07,0.01,4.78,88.64,1.99
2010-01-19,1.47,4.17,-1.24,0.57,3.43,95.13,2.04
2010-01-20,2.09,8.76,-2.16,0.28,5.98,89.66,2.42
2010-01-21,2.47,8.85,-0.58,0.06,4.71,87.37,2.08
2010-01-22,5.35,11.01,-0.51,0.56,8.98,86.87,6.26
2010-01-23,5.35,12.76,-1.29,0.43,11.31,79.06,3.61
2010-01-24,-0.06,4.99,-3.74,0.0,11.11,62.7,6.05
2010-01-25,-0.66,3.46,-4.07,0.0,12.06,51.91,6.44
2010-01-26,-0.94,4.12,-5.07,0.0,12.39,62.73,2.39
2010-01-27,-0.18,6.3,-3.48,0.01,12.35,71.91,3.08
2010-01-28,-4.56,-2.77,-6.78,4.09,4.17,58.75,4.22
2010-01-29,-7.13,-4.01,-9.2,2.31,5.25,79.21,2.93
2010-01-30,-4.44,2.7,-10.06,0.22,11.67,84.96,1.55
2010-01-31,-2.29,2.88,-6.05,0.38,5.79,88.48,3.09
2010-02-01,-1.34,4.13,-4.48,0.06,4.65,85.79,2.02
2010-02-02,-0.05,7.6,-4.11,0.08,12.02,87.86,1.83
2010-02-03,0.88,6.48,-2.63,0.68,6.62,88.05,4.15
2010-02-04,-0.14,1.65,-1.75,5.12,4.3,93.95,2.77
2010-02-05,-0.85,3.46,-4.23,0.37,3.59,89.07,3.08
2010-02-06,-1.05,2.99,-4.05,0.01,6.68,84.53,1.6
2010-02-07,-0.04,3.88,-2.6,0.6,3.61,85.21,1.56
2010-02-08,-3.59,0.21,-8.39,0.23,7.26,66.27,4.68
2010-02-09,-6.32,-1.16,-10.59,0.0,15.54,65.17,4.27
2010-02-10,-4.72,1.47,-11.4,0.0,4.92,77.5,2.92
2010-02-11,-0.11,6.85,-5.74,0.01,13.75,78.26,1.87
2010-02-12,0.75,6.86,-3.1,0.01,14.52,70.29,2.43
2010-02-13,2.41,11.46,-1.98,0.09,13.63,79.73,2.67
2010-02-14,-3.34,-0.12,-6.97,0.03,14.98,49.82,7.88
2010-02-15,-3.1,2.76,-7.05,0.0,13.92,45.21,5.98
2010-02-16,-3.63,1.91,-8.97,0.0,10.94,62.0,3.63
